university_id,major_name_en,major_name_cn,degree_level,is_active,notes
10,Bachelor of Accounting,会计学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Accounting/Diploma of Digital Enterprise,会计学学士/数字化企业文凭,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Accounting/Diploma of Laws,会计学学士/法学文凭,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Architectural Design,建筑设计学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Arts,文学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Arts Honours,文学荣誉学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Audiometry,听力学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Biomedical Science,生物医学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Business,商学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Clinical Science Medicine,临床科学（医学）学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Clinical Science Medicine/Doctor of Medicine,临床科学（医学）学士/医学博士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Clinical Sciences,临床科学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Computer Science,计算机科学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Creative Arts,创意艺术学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Design,设计学学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Digital Enterprise,数字化企业学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Education (Conversion),教育学（转换课程）学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Education (Graduate Entry),教育学（研究生入学）学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Education (Primary Teaching),教育学（小学教学）学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
10,Bachelor of Education Birth to Five Years,教育学（0-5岁）学士,bachelor,1,https://stapps.cdu.edu.au/apex/f?p=100:30:0::NO:::
