university_id,major_name_en,major_name_cn,degree_level,is_active,notes
12,Bachelor of Arts,文学学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-arts--b-arts/
12,Bachelor of Arts (Honours),文学荣誉学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-arts-honours--bh-arts/
12,Bachelor of Business Administration,工商管理学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-business-administration--b-busadm/
12,Bachelor of Commerce,商学学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-commerce--b-comrce/
12,Bachelor of Commerce (Honours),商学荣誉学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-commerce-honours--bh-comm/
12,Bachelor of Computing,计算学学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-computing--b-comp/
12,Bachelor of Design,设计学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-design--b-design/
12,Bachelor of Education (Secondary Education),教育学学士（中学教育）,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-education-secondary-education--b-edsc/
12,Bachelor of Engineering (Honours),工程学荣誉学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-engineering-honours--bh-engr/
12,Bachelor of Information Technology,信息技术学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-information-technology--b-inftec/
12,Bachelor of Innovation,创新学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-innovation--b-innov/
12,Bachelor of Laws,法学学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-laws--b-laws/
12,"Bachelor of Medicine, Bachelor of Surgery",医学学士/外科学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-medicine-bachelor-of-surgery--b-mbbs/
12,Bachelor of Multidisciplinary Science,跨学科科学学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-multidisciplinary-science--b-mtdsc/
12,Bachelor of Psychology,心理学学士,bachelor,1,https://www.curtin.edu.au/study/offering/course-ug-bachelor-of-psychology--b-psych/
