university_id,major_name_en,major_name_cn,degree_level,is_active,notes
15,Bachelor of Adult and Vocational Education and Training,成人与职业教育与培训学士,bachelor,1,
15,Bachelor of Business (Accounting),商学学士（会计）,bachelor,1,
15,Bachelor of Business (Marketing and Management),商学学士（市场营销与管理）,bachelor,1,
15,Bachelor of Business Transformation (Accounting),商业转型学士（会计）,bachelor,1,
15,Bachelor of Business Transformation (Management),商业转型学士（管理）,bachelor,1,
15,Bachelor of Community Services,社区服务学士,bachelor,1,
15,Bachelor of Creative Arts,创意艺术学士,bachelor,1,
15,Bachelor of Criminology,犯罪学学士,bachelor,1,
15,Bachelor of Digital Transformation (IT),数字化转型学士（信息技术）,bachelor,1,
15,Bachelor of Education (Early Childhood Education),教育学士（幼儿教育）,bachelor,1,
15,Bachelor of Education (Early Childhood and Primary),教育学士（幼儿与小学教育）,bachelor,1,
15,Bachelor of Education Studies,教育研究学士,bachelor,1,
15,Bachelor of Engineering (Civil) (Honours),土木工程（荣誉）学士,bachelor,1,
15,Bachelor of Engineering (Electrical) (Honours),电气工程（荣誉）学士,bachelor,1,
15,Bachelor of Engineering (Mechanical) (Honours),机械工程（荣誉）学士,bachelor,1,
15,Bachelor of Engineering (Mining) (Honours),采矿工程（荣誉）学士,bachelor,1,
15,Bachelor of Exercise and Sport Science,运动与体育科学学士,bachelor,1,
15,Bachelor of Information Technology,信息技术学士,bachelor,1,
15,Bachelor of Information Technology (AI and Data Science),信息技术学士（人工智能与数据科学）,bachelor,1,
15,Bachelor of Information Technology (Business Analysis),信息技术学士（商业分析）,bachelor,1,
15,Bachelor of Information Technology (Business Information Systems),信息技术学士（商业信息系统）,bachelor,1,
15,Bachelor of Information Technology (Cybersecurity),信息技术学士（网络安全）,bachelor,1,
15,Bachelor of Information Technology (Networking and Security),信息技术学士（网络与安全）,bachelor,1,
15,Bachelor of Information Technology (Professional Practice),信息技术学士（专业实践）,bachelor,1,
15,Bachelor of Information Technology (Software Application Development),信息技术学士（软件应用开发）,bachelor,1,
15,Bachelor of Information Technology (Software Development),信息技术学士（软件开发）,bachelor,1,
15,Bachelor of Nursing,护理学学士,bachelor,1,
15,Bachelor of Occupational Therapy (Honours),职业治疗（荣誉）学士,bachelor,1,
15,Bachelor of Paramedicine,院前急救学士,bachelor,1,
15,Bachelor of Physiotherapy,物理治疗学士,bachelor,1,
15,Bachelor of Psychological Science,心理科学学士,bachelor,1,
15,Bachelor of Science,理学学士,bachelor,1,
15,Bachelor of Science (Honours),理学（荣誉）学士,bachelor,1,
15,Bachelor of Science (Veterinary Bioscience),理学学士（兽医生物科学）,bachelor,1,
15,Bachelor of Social Work,社会工作学士,bachelor,1,
15,Bachelor of Speech Pathology (Honours),言语病理学（荣誉）学士,bachelor,1,
15,"Bachelor of Sport, Physical and Outdoor Education",体育、身体与户外教育学士,bachelor,1,
15,Bachelor of Visual Arts,视觉艺术学士,bachelor,1,
15,Master of Applied Cyber Security,应用网络安全硕士,master,1,
15,Master of Applied Science,应用科学硕士,master,1,
15,Master of Business,商业硕士,master,1,
15,Master of Computing,计算机硕士,master,1,
15,Master of Data Science,数据科学硕士,master,1,
15,Master of Digital Business Transformation,数字化商业转型硕士,master,1,
15,Master of Education,教育学硕士,master,1,
15,Master of Engineering Technology (Civil),工程技术硕士（土木工程）,master,1,
15,Master of Engineering Technology (Mechanical),工程技术硕士（机械工程）,master,1,
15,Master of Engineering Technology (Mining),工程技术硕士（采矿工程）,master,1,
15,Master of Forensic Cyber Security,法证网络安全硕士,master,1,
15,Master of Health (Advanced Nursing),健康学硕士（高级护理）,master,1,
15,Master of Health (Child and Family Health Nursing),健康学硕士（儿童与家庭健康护理）,master,1,
15,Master of Health (Mental Health Nursing),健康学硕士（精神健康护理）,master,1,
15,Master of Health (Neonatal Care),健康学硕士（新生儿护理）,master,1,
15,Master of Health (Perinatal and Infant Mental Health),健康学硕士（围产期与婴幼儿心理健康）,master,1,
15,Master of Health (Research Practice),健康学硕士（研究实践）,master,1,
15,Master of Health (Workplace Health and Safety),健康学硕士（职业健康与安全）,master,1,
15,Master of Health Research,健康研究硕士,master,1,
15,Master of Maintenance and Reliability Engineering,维护与可靠性工程硕士,master,1,
15,Master of Nursing,护理学硕士,master,1,
15,Master of Nursing (Nurse Practitioner),护理学硕士（高级执业护士）,master,1,
15,Master of Philosophy,哲学硕士,master,1,
15,Master of Professional Accounting,专业会计硕士,master,1,
15,Master of Professional Psychology,专业心理学硕士,master,1,
15,Master of Psychology (Clinical),临床心理学硕士,master,1,
15,Master of Social Work (Qualifying),社会工作硕士（资格认证）,master,1,
15,Master of Teaching (Early Childhood),教学硕士（幼儿教育）,master,1,
15,Master of Teaching (Primary),教学硕士（小学教育）,master,1,
15,Master of Teaching (Secondary),教学硕士（中学教育）,master,1,
