university_id,major_name_en,major_name_cn,degree_level,is_active,notes
16,Bachelor of Accounting,会计学学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-accounting
16,Bachelor of Allied Health (Occupational Therapy),联合健康学士（职业治疗）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-allied-health-occupational-therapy
16,Bachelor of Allied Health (Physiotherapy),联合健康学士（物理治疗）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-allied-health-physiotherapy
16,Bachelor of Allied Health (Speech Pathology),联合健康学士（言语病理学）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-allied-health-speech-pathology
16,Bachelor of Archaeology,考古学学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-archaeology
16,Bachelor of Archaeology (Honours) 1 year,考古学学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-archaeology
16,Bachelor of Arts,文学学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-arts
16,Bachelor of Arts (Honours) 1 year,文学学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-arts
16,Bachelor of Arts and Science,文理学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-arts-science
16,Bachelor of Business,商学学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business
16,Bachelor of Business (Honours) 1 year,商学学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-business
16,Bachelor of Business (Online),商学学士（在线）,bachelor,1,https://www.flinders.edu.au/online/courses/bachelor-business
16,Bachelor of Business Analytics,商业分析学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business-analytics
16,Bachelor of Business majoring in Event Management and Tourism,商学学士（主修：活动管理与旅游）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/event-management-tourism
16,Bachelor of Business majoring in Human Resource Management,商学学士（主修：人力资源管理）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/human-resource-management
16,Bachelor of Business majoring in International Business,商学学士（主修：国际商务）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/international-business
16,Bachelor of Business majoring in Leading Change,商学学士（主修：Leading 变革）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/leading-change
16,Bachelor of Business majoring in Management,商学学士（主修：管理）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/management
16,Bachelor of Business majoring in Marketing,商学学士（主修：市场营销）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/marketing
16,Bachelor of Business majoring in Small Business Leadership,商学学士（主修：小企业领导力）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/small-business-leadership
16,Bachelor of Business majoring in Sports Management,商学学士（主修：体育管理）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-business/sports-management
16,"Bachelor of Clinical Sciences, Doctor of Medicine",临床科学（医学博士）学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-clinical-sciences-doctor-medicine
16,Bachelor of Commerce,商业学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-commerce
16,Bachelor of Commerce (Honours) 1 year,商业学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-commerce
16,Bachelor of Computer Science,计算机科学学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-computer-science
16,Bachelor of Computer Science (Artificial Intelligence),计算机科学学士（人工智能）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-computer-science-artificial-intelligence
16,Bachelor of Computing and Mathematical Sciences (Honours),计算与数学科学学士（荣誉）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-computing-mathematical-sciences-honours
16,Bachelor of Creative Arts (Costume Design),创意艺术学士（服装设计）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-arts-costume-design
16,Bachelor of Creative Arts (Costume Design) (VET pathway),创意艺术学士（服装设计；职业教育与培训（VET）路径）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-arts-costume-design-vet-pathway
16,Bachelor of Creative Arts (Dance),创意艺术学士（舞蹈）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-arts-dance
16,Bachelor of Creative Arts (Fashion),创意艺术学士（时尚）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-arts-fashion
16,Bachelor of Creative Arts (Fashion) (VET pathway),创意艺术学士（时尚；职业教育与培训（VET）路径）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-arts-fashion-vet-pathway
16,Bachelor of Creative Arts (Honours) 1 year,创意艺术学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-creative-arts
16,Bachelor of Creative Arts (Interior Design),创意艺术学士（室内设计）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-arts-interior-design
16,Bachelor of Creative Arts (Visual Arts),创意艺术学士（视觉艺术）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-arts-visual-arts
16,Bachelor of Creative Industries (Honours) 1 year,创意产业学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-creative-industries
16,Bachelor of Creative Writing,创意写作学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-creative-writing
16,Bachelor of Criminology,Criminology学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-criminology
16,Bachelor of Criminology (Honours),Criminology学士（荣誉）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-criminology-honours
16,Bachelor of Criminology (Honours) 1 year,Criminology学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-criminology
16,Bachelor of Design and Technology (Honours) 1 year,设计与技术学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-design-technology
16,Bachelor of Disability and Community Inclusion,残障与社区融合学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-disability-community-inclusion
16,Bachelor of Disability and Developmental Education,残障与发展性教育学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-disability-developmental-education
16,Bachelor of Disability and Developmental Education (Online),残障与发展性教育学士（在线）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-disability-developmental-education-online
16,Bachelor of Early Childhood Education (Birth - 5),幼儿教育 (Birth学士（5)）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-early-childhood-education-birth-5
16,Bachelor of Early Childhood Education (Birth - 8),幼儿教育 (Birth学士（8)）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-early-childhood-education-birth-8
16,Bachelor of Education (Honours) 1 year,教育学士（荣誉，1 年）,bachelor,1,https://www.flinders.edu.au/study/courses/honours-bachelor-education
16,Bachelor of Education (Inclusive Education),教育学士（融合教育）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-education-inclusive
16,Bachelor of Education (Primary),教育学士（小学教育）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-education-primary
16,Bachelor of Education (Secondary Health and Physical Education),教育学士（中学健康与体育教育）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-education-secondary-health-physical-education
16,Bachelor of Education (Secondary),教育学士（中学教育）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-education-secondary
16,Bachelor of Engineering (Biomedical) (Honours),工程学士（荣誉；生物医学）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-biomedical-honours
16,Bachelor of Engineering (Civil) (Honours),工程学士（荣誉；土木工程）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-civil-honours
16,Bachelor of Engineering (Electrical and Electronic) (Honours),工程学士（荣誉；电气与电子工程）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-electrical-electronic-honours
16,Bachelor of Engineering (Environmental) (Honours),工程学士（荣誉；环境）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-environmental-honours
16,Bachelor of Engineering (Honours) - Flexible Entry,工程学士（荣誉；灵活入学）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-honours-flexible-entry
16,Bachelor of Engineering (Honours) - General Entry,工程学士（荣誉；常规入学）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-honours-general-entry
16,Bachelor of Engineering (Maritime) (Honours),工程学士（荣誉；海事）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-maritime-honours
16,Bachelor of Engineering (Mechanical) (Honours),工程学士（荣誉；机械工程）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-mechanical-honours
16,Bachelor of Engineering (Robotics) (Honours),工程学士（荣誉；机器人）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-robotics-honours
16,Bachelor of Engineering (Software) (Honours),工程学士（荣誉；软件工程）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-software-honours
16,Bachelor of Engineering Science,工程科学学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-science
16,Bachelor of Engineering Science majoring in Design and User Experience,工程科学学士（主修：设计与用户体验）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-science/design-user-experience
16,Bachelor of Engineering Technology (Advanced Manufacturing and Digital Design),工程技术学士（先进制造与数字化设计）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-technology-advanced-manufacturing-digital-design
16,Bachelor of Engineering Technology (Systems and Security) / Bachelor of Science (Physics),工程技术学士（系统与安全） / 理学学士（物理学）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-engineering-technology-systems-security-bachelor-science-physics
16,Bachelor of Exercise and Sport Science,运动与体育科学学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-exercise-sport-science
16,Bachelor of Film and Television (Screen Industries),电影与电视学士（影视产业）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-film-television-screen-industries
16,Bachelor of Film and Television (Screen Production),电影与电视学士（影视制作）,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-film-television-screen-production
16,Bachelor of Game Design,游戏设计学士,bachelor,1,https://www.flinders.edu.au/study/courses/bachelor-game-design
