university_id,major_name_en,major_name_cn,degree_level,is_active,notes
17,Bachelor of Acting,表演学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-acting/be891cbcf5969fbf7dcb0a66ab80f497
17,Bachelor of Advanced Business (Honours),高级商科（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-advanced-business-honours/6c58c163e36126d63d1a94a5026653b1
17,Bachelor of Advanced Commerce (Honours),高级商科（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-advanced-commerce-honours/b761baf785367eec777c486d6e9beb38
17,Bachelor of Advanced Computer Science (Honours),高级计算机科学（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-advanced-computer-science-honours/98764712d6b25b144e3313064f6878f9
17,Bachelor of Advanced International Tourism and Hotel Management (Honours),高级国际旅游与酒店管理（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-advanced-international-tourism-and-hotel-management-honours/8a35d38ceef9afc38fbca10a307f832e
17,Bachelor of Advanced Political Science and International Relations (Honours),高级政治学与国际关系（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-advanced-political-science-and-international-relations-honours/d94ba691867f4c834060ea5e3e25c758
17,Bachelor of Advanced Science (Honours),高级科学（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-advanced-science-honours/3b809643035bee7ef766c600d3915669
17,Bachelor of Animation,动画学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-animation/1054a42374d5588157d052714f24cd1d
17,Bachelor of Architectural Design,建筑设计学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-architectural-design/a7b0b531a334ffdcc34743fbef032350
17,Bachelor of Architectural Design/Bachelor of Business,建筑设计学士/商学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-architectural-designbachelor-of-business/aa2572d5d26ff1e7887ecd8ca3ee820d
17,Bachelor of Architectural Design/Bachelor of Construction Management (Honours),建筑设计学士/建筑施工管理（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-architectural-designbachelor-of-construction-management-honours/85a045e7ee031d741d4b3f1e59af0477
17,Bachelor of Architectural Design/Master of Architecture,建筑设计学士/建筑学硕士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-architectural-designmaster-of-architecture/6ec4a34c9c74790dd620dd868e4ec404
17,Bachelor of Architectural Design/Master of Urban and Environmental Planning,建筑设计学士/城市与环境规划硕士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-architectural-designmaster-of-urban-and-environmental-planning/a4172824bcf7cf69c5bf562bd83a9ca4
17,Bachelor of Arts,文学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-arts/3615d4e8e2d6aa25e2093bcc2b1fe721
17,Bachelor of Arts (Honours),文学（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-arts-honours/ce2737346841d33912648b683153b6c2
17,Bachelor of Arts/Bachelor of Business,文学学士/商学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-artsbachelor-of-business/259a70ae225c4325e8d972cc33bac78d
17,Bachelor of Aviation,航空学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-aviation/5af6c306ea2648fc0935bbc8ef806555
17,Bachelor of Aviation Management,航空管理学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-aviation-management/41e6dd47cc6c3609189c69fcd1673b89
17,Bachelor of Aviation/Bachelor of Information Technology,航空学士/信息技术学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-aviationbachelor-of-information-technology/0493ec531100c8c47925697e4f116800
17,Bachelor of Biomedical Science,生物医学科学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-biomedical-science/41eea4e0386e78e432e8e68958e33371
17,Bachelor of Biomedical Science (Honours),生物医学科学（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-biomedical-science-honours/79a120ad891b64abf702bc2c2706a554
17,Bachelor of Biomolecular Science (Honours),生物分子科学（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-biomolecular-science-honours/ac9101a3da5e538191823046037b7989
17,Bachelor of Business,商学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-business/4269592a56b14b539e79644a1018f54b
17,Bachelor of Business (Honours),商学（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-honours/b6a0217798cda4ea0e5f35476d94a064
17,Bachelor of Business/Bachelor of Commerce,商学学士/商科学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-businessbachelor-of-commerce/2421fc3079e7f72722ad97c305541b8a
17,Bachelor of Business/Bachelor of Criminology and Criminal Justice,商学学士/犯罪学与刑事司法学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-businessbachelor-of-criminology-and-criminal-justice/c29f3d88035fa91c3b55285101b60909
17,Bachelor of Business/Bachelor of Data Science,商学学士/数据科学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-businessbachelor-of-data-science/eda94d497d462e265c514c6ffe60f2e0
17,Bachelor of Business/Bachelor of Political Science and International Relations,商学学士/政治学与国际关系学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-businessbachelor-of-political-science-and-international-relations/746b60115ee0301cea2688b8e1e3557d
17,Bachelor of Cinematic Arts (Honours),电影艺术（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-cinematic-arts-honours/a73b82f8c0af6711c17ce636612bfc41
17,Bachelor of Clinical Exercise Physiology,临床运动生理学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-clinical-exercise-physiology/00f2ecd5b92e8185673fd57c8195e70d
17,Bachelor of Commerce,商科学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-commerce/148b3150514d75945f8372a6b76c5ca9
17,Bachelor of Communication,传播学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-communication/b363e18d574727c76ce5a695ea13e4ff
17,Bachelor of Communication/Bachelor of Business,传播学学士/商学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-communicationbachelor-of-business/7669690d4d9fd65f170951ddbae4e280
17,Bachelor of Communication/Bachelor of Political Science and International Relations,传播学学士/政治学与国际关系学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-communicationbachelor-of-political-science-and-international-relations/34e5732e906584b9095683e858554a7c
17,Bachelor of Communication/Bachelor of Science,传播学学士/科学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-communicationbachelor-of-science/407e79fc0bc64aeae96c2a6e7abe65c9
17,Bachelor of Computer Science,计算机科学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-computer-science/c60aad8f1efbe8d15504b56708958691
17,Bachelor of Computer Science (Honours),计算机科学（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-computer-science-honours/3eb89c6b3f403b5b4322d0a27e96c906
17,Bachelor of Construction Management (Honours),建筑施工管理（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-construction-management-honours/212a4afc673e9f4d9738c4e01a6bac28
17,Bachelor of Counselling,咨询学学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-counselling/72294dbee9a97fba9c20b44f626984cf
17,Bachelor of Criminology and Criminal Justice,犯罪学与刑事司法学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-criminology-and-criminal-justice/626c1b0497b36dacfb6a80a3ba40077b
17,Bachelor of Criminology and Criminal Justice (Honours),犯罪学与刑事司法（荣誉）学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-criminology-and-criminal-justice-honours/1990712fa6c60e8d83aed32e3b3a3bb2
17,Bachelor of Cyber Security,网络安全学士,bachelor,1,https://search.studyaustralia.gov.au/course/bachelor-of-cyber-security/e8687ae5759472b26ca588918949d0ee
