university_id,major_name_en,major_name_cn,degree_level,is_active,notes
18,Bachelor of Business (BBus),商业学士,bachelor,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/bachelor-of-business
18,Bachelor of Professional Accounting (BPA),专业会计学士,bachelor,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/bachelor-of-professional-accounting
18,Bachelor of Information Systems (BIS),信息系统学士,bachelor,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/bachelor-of-information-systems
18,Bachelor of Fashion and Business (BFB),时尚与商业学士,bachelor,1,https://holmes.edu.au/index.php?ID=54
18,Bachelor of Aviation (Flight) (BAvi),航空学士（飞行）,bachelor,1,https://www.holmes.edu.au/index.php?ID=214
18,Bachelor of Aviation (Flight) – Major in Piloting,航空学士（飞行）- 飞行驾驶方向,bachelor,1,https://www.aviation.holmes.edu.au/courses/bachelor-of-aviation-flight
18,Bachelor of Aviation (Flight) – Major in Drone Operations,航空学士（飞行）- 无人机运营方向,bachelor,1,https://www.aviation.holmes.edu.au/courses/bachelor-of-aviation-flight-drone-operations
18,Bachelor of Aviation (Management),航空管理学士,bachelor,1,https://www.aviation.holmes.edu.au/courses/bachelor-of-aviation-management
18,Master of Business Administration (MBA),工商管理硕士,master,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/master-of-business-administration
18,Master of Business Administration (Professional),工商管理硕士（职业实践）,master,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/master-of-business-administration-%28professional%29
18,Master of Professional Accounting (MPA),专业会计硕士,master,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/master-of-professional-accounting
18,Master of Information Systems (MIS),信息系统硕士,master,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/master-of-information-systems
18,Master of Teaching (Early Childhood),教学硕士（幼儿教育）,master,1,https://www.holmes.edu.au/pages/schools-and-faculties/higher-education/courses/master-of-teaching-%28early-childhood%29-and-nested-graduate-diploma-of-early-childhood
