university_id,major_name_en,major_name_cn,degree_level,is_active,notes
1,Associate Degree in Philosophy,哲学副学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Associate Degree in Theology,神学副学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Accounting and Finance,会计与金融学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Allied Health,辅助健康学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Applied Public Health (Honours),应用公共卫生荣誉学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts,文学学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts (Honours),文学荣誉学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts (Western Civilisation),文学学士（Western Civilisation）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts (Western Civilisation) (Honours),文学荣誉学士（Western Civilisation）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts (Western Civilisation)/Bachelor of Laws,文学学士（Western Civilisation）与法学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts (Western Civilisation)/Bachelor of Laws (Honours),文学学士（Western Civilisation）与Laws荣誉学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts (Western Civilisation)/Master of Teaching (Secondary),文学学士（Western Civilisation）与教学硕士（中学教育）（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts/Bachelor of Commerce,文学学士与商学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts/Bachelor of Global Studies,文学学士与全球研究学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts/Bachelor of Laws,文学学士与法学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts/Bachelor of Laws (Honours),文学学士与Laws荣誉学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Arts/Master of Teaching (Secondary),文学学士与教学硕士（中学教育）（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Biomedical Science,生物医学学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Biomedical Science (Honours),生物医学荣誉学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Biomedical Science/Bachelor of Business,生物医学学士与商学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Biomedical Science/Bachelor of Laws,生物医学学士与法学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Biomedical Science/Bachelor of Laws (Honours),生物医学学士与Laws荣誉学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Business,商学学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Business/Bachelor of Global Studies,商学学士与全球研究学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Business/Bachelor of Laws,商学学士与法学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Business/Bachelor of Laws (Honours),商学学士与Laws荣誉学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Commerce,商学学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Commerce (ACU Online),商学学士（ACU 线上）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Commerce/Bachelor of Global Studies,商学学士与全球研究学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Commerce/Bachelor of Laws,商学学士与法学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Commerce/Bachelor of Laws (Honours),商学学士与Laws荣誉学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Computer Science,Computer 理学学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Computer Science/Master of Data Science,Computer 理学学士与数据科学硕士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Creative Arts,Creative 文学学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Criminology and Criminal Justice,犯罪学与刑事司法学士,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Criminology and Criminal Justice/Bachelor of Laws,犯罪学与刑事司法学士与法学学士（双学位）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Early Childhood Education (Birth to Five Years),学前教育学士（Birth to Five Years）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Education (Early Childhood and Primary),教育学士（学前教育 与 小学教育）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Education (Primary and Secondary),教育学士（小学与中学教育）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Education (Primary and Secondary) (ACU Online),教育学士（小学与中学教育；ACU 线上）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
1,Bachelor of Education (Primary and Special Education),教育学士（小学教育 与 Special Education）,bachelor,1,https://www.acu.edu.au/handbook/handbook-2026/course
