university_id,major_name_en,major_name_cn,degree_level,is_active,notes
20,Bachelor of Advanced Science,高级科学学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Arts,文学学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Arts (Honours) [End-on],文学学士（荣誉）（追加荣誉）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Arts – Bachelor of Business,文学学士与商科学士（双学位）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Arts – Bachelor of Laws,文学学士与法学学士（双学位）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Arts – Bachelor of Science,文学学士与理学学士（双学位）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Biomedical Sciences,生物医学科学学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Biomedical Sciences (Honours) [End-on],生物医学科学学士（荣誉）（追加荣誉）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Biomedical Sciences [Indigenous Health Careers Access Program],生物医学科学学士（原住民健康职业通道项目）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Business,商科学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Business (Honours) [End-on],商科学士（荣誉）（追加荣誉）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Business and Environmental Science,商科与环境科学学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Business – Bachelor of Laws,商科学士与法学学士（双学位）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Business – Bachelor of Psychological Science,商科学士与心理科学学士（双学位）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Commerce,商业学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Commerce (Honours) [End-on],商业学士（荣誉）（追加荣誉）,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Cybersecurity,网络安全学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
20,Bachelor of Dental Surgery,牙科外科学士,bachelor,1,https://www.jcu.edu.au/course-and-subject-handbook-2024/courses
