university_id,major_name_en,major_name_cn,degree_level,is_active,notes
22,Bachelor of Arts,文学学士,bachelor,1,
22,Bachelor of Arts and Bachelor of Science,文学学士与理学学士（双学位）,bachelor,1,
22,Bachelor of Business,商业学士,bachelor,1,
22,Bachelor of Business Analytics,商业分析学士,bachelor,1,
22,Bachelor of Commerce,商学学士,bachelor,1,
22,Bachelor of Cyber Security,网络安全学士,bachelor,1,
22,Bachelor of Security Studies,安全研究学士,bachelor,1,
22,Bachelor of Clinical Science,临床科学学士,bachelor,1,
22,Bachelor of History,历史学学士,bachelor,1,
22,Bachelor of Information Technology,信息技术学士,bachelor,1,
22,Bachelor of Laws,法学学士,bachelor,1,
22,Bachelor of Marketing and Media,市场营销与媒体学士,bachelor,1,
22,Bachelor of Media and Communications,媒体与传播学士,bachelor,1,
22,Bachelor of Medical Sciences,医学科学学士,bachelor,1,
22,Bachelor of Psychology,心理学学士,bachelor,1,
22,Bachelor of Science,理学学士,bachelor,1,
22,Bachelor of Actuarial Studies,精算学学士,bachelor,1,
22,Bachelor of Applied Finance,应用金融学士,bachelor,1,
22,Bachelor of Economics,经济学学士,bachelor,1,
22,Bachelor of Environment,环境学学士,bachelor,1,
22,Bachelor of Engineering (Honours),工程学（荣誉）学士,bachelor,1,
22,Bachelor of Game Design and Development,游戏设计与开发学士,bachelor,1,
22,Bachelor of International Studies,国际研究学士,bachelor,1,
22,Bachelor of Professional Accounting,专业会计学士,bachelor,1,
22,Bachelor of Psychological Sciences (Honours),心理科学（荣誉）学士,bachelor,1,
22,Bachelor of Security Studies and Master of Counter Terrorism,安全研究学士与反恐硕士（双学位）,bachelor,1,
22,Bachelor of Security Studies and Master of Criminology,安全研究学士与犯罪学硕士（双学位）,bachelor,1,
22,Bachelor of Security Studies and Master of Cyber Security Analysis,安全研究学士与网络安全分析硕士（双学位）,bachelor,1,
22,Bachelor of Security Studies and Master of Intelligence,安全研究学士与情报学硕士（双学位）,bachelor,1,
22,Master of Management,管理学硕士,master,1,
22,Master of Commerce,商学硕士,master,1,
22,Master of Commerce and Master of Management,商学硕士与管理学硕士（双学位）,master,1,
22,Master of Applied Economics and Master of Management,应用经济学硕士与管理学硕士（双学位）,master,1,
22,Master of Business Administration,工商管理（MBA）硕士,master,1,
22,Master of Banking and Finance,银行与金融硕士,master,1,
22,Master of International Business,国际商务硕士,master,1,
22,Master of International Relations,国际关系硕士,master,1,
22,Master of Information Technology,信息技术硕士,master,1,
22,Master of Data Science,数据科学硕士,master,1,
22,Master of Business Analytics,商业分析硕士,master,1,
22,Master of Creative Industries,创意产业硕士,master,1,
22,Master of Intelligence,情报学硕士,master,1,
22,Master of Environment,环境学硕士,master,1,
22,Master of Public Health,公共卫生硕士,master,1,
22,Master of Public Health (Research),公共卫生硕士（研究）,master,1,
22,Master of Applied Linguistics and TESOL,应用语言学与对外英语教学（TESOL）硕士,master,1,
22,Master of Biotechnology,生物技术硕士,master,1,
22,Master of Biotechnology and Business,生物技术与商业硕士,master,1,
22,Master of Chiropractic,脊骨神经医学硕士,master,1,
22,Master of Clinical Audiology,临床听力学硕士,master,1,
22,Master of Clinical Neuropsychology,临床神经心理学硕士,master,1,
22,Master of Clinical Psychology,临床心理学硕士,master,1,
22,Master of Conservation Biology,保护生物学硕士,master,1,
22,Master of Disability Studies,残障研究硕士,master,1,
22,Master of Early Childhood,幼儿教育硕士,master,1,
22,Master of Engineering Management,工程管理硕士,master,1,
22,Master of Inclusive and Special Education,融合与特殊教育硕士,master,1,
22,Master of Indigenous Education,原住民教育硕士,master,1,
22,Master of Organisational Psychology,组织心理学硕士,master,1,
22,Master of Planning,城市规划硕士,master,1,
22,Master of Professional Psychology,专业心理学硕士,master,1,
22,Master of Speech and Language Pathology,言语与语言病理学硕士,master,1,
22,Master of Sustainable Development,可持续发展硕士,master,1,
22,Master of Teaching (Birth to Five Years),教学硕士（出生至5岁（学前教育））,master,1,
22,Master of Teaching (Primary),教学硕士（小学教育）,master,1,
22,Master of Teaching (Secondary),教学硕士（中学教育）,master,1,
22,Master of Translation and Interpreting Studies,翻译与口译研究硕士,master,1,
22,Master of Actuarial Practice,精算实践硕士,master,1,
22,Master of Professional Accounting,专业会计硕士,master,1,
22,Master of Professional Accounting and Leadership,专业会计与领导力硕士,master,1,
22,Master of Radiopharmaceutical Science,放射性药物科学硕士,master,1,
22,Master of Counter Terrorism,反恐硕士,master,1,
22,Master of Criminology,犯罪学硕士,master,1,
22,Master of Cyber Security Analysis,网络安全分析硕士,master,1,
