university_id,major_name_en,major_name_cn,degree_level,is_active,notes
23,Bachelor of Business,商业学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Bachelor of Information Technology,商业学士与信息技术学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Bachelor of Arts,商业学士与文学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Bachelor of Media Communication,商业学士与媒体传播学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Bachelor of Banking and Finance,商业学士与银行与金融学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Bachelor of Marketing,商业学士与市场营销学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Bachelor of Accounting,商业学士与会计学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Bachelor of International Relations,商业学士与国际关系学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce,商学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Global Studies,商学学士与全球研究学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Computer Science,商学学士与计算机科学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Arts,商学学士与文学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Biomedical Science,商学学士与生物医学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Music,商学学士与音乐学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Science,商学学士与理学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Information Technology,商学学士与信息技术学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Actuarial Science,商学学士与精算学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Economics,商学学士与经济学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Commerce and Bachelor of Finance,商学学士与金融学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,"Bachelor of Commerce and Bachelor of Politics, Philosophy and Economics",商学学士与Politics、 Philosophy and经济学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business Administration,商业Administration学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Accounting,会计学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Economics,经济学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Actuarial Science,精算学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Finance,金融学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Marketing,市场营销学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Marketing and Bachelor of Arts,市场营销学士与文学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Banking and Finance,银行与金融学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Marketing and Bachelor of Media Communication,市场营销学士与媒体传播学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Digital Business,数字商业学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Digital Business and Bachelor of Information Technology,数字商业学士与信息技术学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Digital Business and Bachelor of Business,数字商业学士与商业学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Actuarial Science and Master of Actuarial Science,精算学学士与精算学硕士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Commerce,商业and商学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Commerce and Bachelor of Digital Media and Communication,商业and商学学士与数字媒体与传播学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Business and Commerce and Bachelor of Computer Science,商业and商学学士与计算机科学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor in Actuarial Analytics,精算分析学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Diploma of Business,商业文凭,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Postgraduate Diploma in Business and Commerce,商业and商学研究生文凭,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Diploma of Economic Analytics,经济分析研究生文凭,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Banking and Finance,银行与金融硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Business,商业硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of International Business,国际商务硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of International Business (Double Masters with Southeast University),国际商务（Double Masters with东南大学）硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Professional Accounting,专业会计硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Actuarial Studies,精算研究硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Business Analytics,商业分析硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Commerce,商学硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Indigenous Business Leadership,原住民商业领导力硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Economics,经济学硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Digital Business,数字商业硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Applied Econometrics,应用计量经济学硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Accounting,会计硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Advanced Finance,高级金融硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business,全球商业硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management,管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Applied Marketing,应用市场营销硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Applied Econometrics and Master of Advanced Finance,应用计量经济学硕士与高级金融硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Regulation and Compliance,全球商业硕士与监管与合规硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Applied Econometrics,全球商业硕士与应用计量经济学硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Accounting,全球商业硕士与会计硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Applied Marketing,全球商业硕士与应用市场营销硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Advanced Finance,全球商业硕士与高级金融硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Management,全球商业硕士与管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Regulation and Compliance,管理硕士与监管与合规硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Advanced Finance,管理硕士与高级金融硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Applied Marketing,管理硕士与应用市场营销硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Accounting,管理硕士与会计硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Behaviour and Systemic Change,全球商业硕士与行为与系统性变革硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Behaviour and Systemic Change,管理硕士与行为与系统性变革硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Public Policy,管理硕士与公共政策硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Public Policy,全球商业硕士与公共政策硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Marketing and Digital Communications,管理硕士与市场营销与数字传播硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Management and Master of Public Policy and Management,管理硕士与公共政策与管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Public Policy and Management,全球商业硕士与公共政策与管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Global Business and Master of Marketing and Digital Communications,全球商业硕士与市场营销与数字传播硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Project Management,项目管理研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Business Management,商业管理研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Analytics,分析研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Business Administration (Digital),商业Administration（Digital）研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Human Resource Management,人力资源管理研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Managerial Analytics,管理分析研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Diploma of Project Management,项目管理研究生文凭,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Diploma of Business Administration (Digital),商业Administration（Digital）研究生文凭,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Project Management,项目管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Business Management,商业管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Analytics,分析硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Business Administration (Digital),商业Administration（Digital）硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Human Resource Management,人力资源管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Business Management and Master of Human Resource Management,商业管理硕士与人力资源管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Business Management and Master of Project Management,商业管理硕士与项目管理硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Business Management and Master of Marketing and Digital Communications,商业管理硕士与市场营销与数字传播硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Master of Managerial Analytics,管理分析硕士,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Arts,文学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Global Studies,全球研究学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Media Communications (Caulfield),媒体传播（考菲尔德（Caulfield））学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Music,音乐学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Arts and Bachelor of Music,文学学士与音乐学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Arts and Bachelor of Fine Arts,文学学士与Fine文学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Arts (Social Sciences),文学（Social Sciences）学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Criminology,犯罪学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Criminology and Bachelor of Information Technology,犯罪学学士与信息技术学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,"Bachelor of Politics, Philosophy and Economics",Politics、 Philosophy and经济学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Digital Media and Communication (Malaysia),数字媒体与传播（马来西亚校区）学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Bachelor of Arts and Bachelor of Criminology,文学学士与犯罪学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,"Bachelor of Politics, Philosophy and Economics and Bachelor of Arts",Politics、 Philosophy and经济学学士与文学学士,bachelor,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Bioethics,生命伦理学研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Family Violence Prevention,家庭暴力预防研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of International Relations,国际关系研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Strategic Communications Management,战略传播管理研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Public Policy (Caulfield),公共政策（考菲尔德（Caulfield））研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Journalism,新闻学研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Marketing and Digital Communications,市场营销与数字传播研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Applied Linguistics,应用语言学研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Certificate of Cultural and Creative Industries,文化与创意产业研究生证书,master,1,https://www.monash.edu/students/handbooks/maps/2026
23,Graduate Diploma of Family Violence Prevention,家庭暴力预防研究生文凭,master,1,https://www.monash.edu/students/handbooks/maps/2026
