university_id,major_name_en,major_name_cn,degree_level,is_active,notes
25,Bachelor of Architectural Design,建筑设计学士,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code AB05)
25,Bachelor of Architectural Design / Bachelor of Built Environment (Honours) (Construction Management and Quantity Surveying),建筑设计学士 / 建成环境学士（荣誉；施工管理与工程造价）,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code EB02)
25,Bachelor of Architectural Design / Bachelor of Built Environment (Honours) (Interior Design),建筑设计学士 / 建成环境学士（荣誉；室内设计）,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code EB03)
25,Bachelor of Architectural Design / Bachelor of Built Environment (Honours) (Landscape Architecture),建筑设计学士 / 建成环境学士（荣誉；景观建筑学）,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code EB04)
25,Bachelor of Architectural Design / Bachelor of Built Environment (Honours) (Urban and Regional Planning),建筑设计学士 / 建成环境学士（荣誉；城市与区域规划）,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code EB01)
25,Bachelor of Architectural Design / Bachelor of Business,建筑设计学士 / 商学学士,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code ID35)
25,Bachelor of Architectural Design / Bachelor of Engineering (Honours),建筑设计学士 / 工程学学士（荣誉）,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code EB07)
25,Bachelor of Architectural Design / Bachelor of Property Economics,建筑设计学士 / 房地产经济学学士,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code ID53)
25,Bachelor of Behavioural Science (Honours Psychology),行为科学学士（荣誉心理学）,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code PY09)
25,Bachelor of Behavioural Science (Psychology),行为科学学士（心理学）,bachelor,1,https://www.qut.edu.au/about/governance-and-policy/handbooks-course-lists-and-award-abbreviations/active-courses-list (course code PY45)
