university_id,degree_level,major_name_en,major_name_cn,is_active,notes
29,bachelor,"Bachelor of Agricultural Sciences - Roseworthy Campus, Waite Campus",农业科学学士（罗斯沃西校区、韦特校区）,1,https://www.adelaide.edu.au/degree-finder/2025/bags_bagricsci.html
29,bachelor,"Bachelor of Applied Data Analytics - North Terrace Campus, Waite Campus",应用数据分析学士（北台地校区、韦特校区）,1,https://www.adelaide.edu.au/degree-finder/2025/bada_bapda.html
29,bachelor,Bachelor of Architectural Design,建筑设计学士,1,https://www.adelaide.edu.au/degree-finder/2025/bdest_bdesignst.html
29,bachelor,Bachelor of Arts,文学学士,1,https://www.adelaide.edu.au/degree-finder/2025/barts_bart.html
29,bachelor,Bachelor of Arts (Advanced),文学（高级）学士,1,https://www.adelaide.edu.au/degree-finder/2025/barta_bartadv.html
29,bachelor,Bachelor of Biotechnology,生物技术学士,1,https://www.adelaide.edu.au/degree-finder/2025/bbio_bbiotec.html
29,bachelor,Bachelor of Biotechnology (Honours),生物技术（荣誉）学士,1,https://www.adelaide.edu.au/degree-finder/2025/hbio_hbbiotec.html
29,bachelor,Bachelor of Business,商学学士,1,https://www.adelaide.edu.au/degree-finder/2025/bbus_bbusiness.html
29,bachelor,Bachelor of Commerce,商学学士,1,https://www.adelaide.edu.au/degree-finder/2025/bcom_bcom.html
29,bachelor,Bachelor of Commerce - Melbourne Campus,商学学士（墨尔本校区）,1,https://www.adelaide.edu.au/degree-finder/2025/bcom_bcommelb.html
29,bachelor,Bachelor of Computer Science,计算机科学学士,1,https://www.adelaide.edu.au/degree-finder/2025/bcomp_bcmpsci.html
29,bachelor,Bachelor of Computer Science (Advanced),计算机科学（高级）学士,1,https://www.adelaide.edu.au/degree-finder/2025/bcmsa_bcmpscadv.html
29,bachelor,Bachelor of Construction Management,施工管理学士,1,https://www.adelaide.edu.au/degree-finder/2025/bcm_bconsmgt.html
29,bachelor,Bachelor of Construction Management (Honours),施工管理（荣誉）学士,1,https://www.adelaide.edu.au/degree-finder/2025/hcm_hbcm.html
29,bachelor,Bachelor of Criminology,犯罪学学士,1,https://www.adelaide.edu.au/degree-finder/2025/bcrim_bcrim.html
