university_id,degree_level,major_name_en,major_name_cn,is_active,notes
30,bachelor,Bachelor of Arts,文学学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-arts/3dad18b8137d129c0fe571d56de43878
30,bachelor,Bachelor of Arts and Design (Honours),艺术与设计（荣誉）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-arts-and-design-honours/4d54ab214b861ba89e912a8af05cee66
30,bachelor,Bachelor of Arts/Bachelor of Communication and Media,文学学士/传播与媒体学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-artsbachelor-of-communication-and-media/f6e58df6618540c701334adceb923355
30,bachelor,Bachelor of Arts/Bachelor of Science in Psychology,文学学士/理学（心理学）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-artsbachelor-of-science-in-psychology/f180199781281fa2929c338388595e4f
30,bachelor,Bachelor of Building and Construction Management (Honours),建筑与施工管理（荣誉）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-building-and-construction-management-honours/7443b7b56c5d6a3cea7aeabe89ffd73a
30,bachelor,Bachelor of Built Environment (Architecture)/ Bachelor of Built Environment (Interior Architecture),建成环境（建筑学）学士/建成环境（室内建筑）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-built-environment-architecture-bachelor-of-built-environment-interior-architecture/2c55eb9b23f49f0ec4ee30bc7e370337
30,bachelor,Bachelor of Business,商业学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business/d0023daacf211b83765debcd21504b51
30,bachelor,Bachelor of Business (Entrepreneurship and Innovation),商业（创业与创新）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-entrepreneurship-and-innovation/e1d9074a6ac772dd3a018d7ecd8d3be8
30,bachelor,Bachelor of Business (Sport Management),商业（体育管理）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-sport-management/98de4d7dea571c1c5ca47ca49f3bf2ef
30,bachelor,Bachelor of Business Informatics,商业信息学学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-informatics/058794ed434e2efa5792cf3d47f436c1
30,bachelor,"Bachelor of Business, Government and Policy (Honours)",商业、政府与政策（荣誉）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-government-and-policy-honours/668c26b99765a2c822c3d42876846e67
30,bachelor,Bachelor of Business/ Bachelor of Arts,商业学士/文学学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-bachelor-of-arts/52986baf2c6f2f32f6e8c459f8deb486
30,bachelor,Bachelor of Business/ Bachelor of Business Informatics,商业学士/商业信息学学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-bachelor-of-business-informatics/dffcf8961ba9b76747f27af807f9dcfa
30,bachelor,Bachelor of Business/ Bachelor of Communication and Media,商业学士/传播与媒体学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-bachelor-of-communication-and-media/d74b50dd848cbde5bfdeb8fae564fe6f
30,bachelor,Bachelor of Business/ Bachelor of Laws,商业学士/法学学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-bachelor-of-laws/e0263cd2fba3cc53f12eabc75af00629
30,bachelor,Bachelor of Business/ Bachelor of Science in Psychology,商业学士/理学（心理学）学士,1,https://search.studyaustralia.gov.au/course/bachelor-of-business-bachelor-of-science-in-psychology/1c50dd97923149bc298d93eba3c6862c
