university_id,degree_level,major_name_en,major_name_cn,is_active,notes
32,bachelor,Bachelor of Accounting,会计学士,1,https://www.une.edu.au/study/courses/bachelor-of-accounting
32,bachelor,Bachelor of Accounting/Bachelor of Laws,会计学士/法学学士,1,https://www.une.edu.au/study/courses/bachelor-of-accounting-bachelor-of-laws
32,bachelor,Bachelor of Agribusiness,农业商务学士,1,https://www.une.edu.au/study/courses/bachelor-of-agribusiness
32,bachelor,Bachelor of Agriculture,农业学士,1,https://www.une.edu.au/study/courses/bachelor-of-agriculture
32,bachelor,Bachelor of Agriculture/Bachelor of Business,农业学士/商学学士,1,https://www.une.edu.au/study/courses/bachelor-of-agriculture-bachelor-of-business
32,bachelor,Bachelor of Agriculture/Bachelor of Laws,农业学士/法学学士,1,https://www.une.edu.au/study/courses/bachelor-of-agriculture-bachelor-of-laws
32,bachelor,Bachelor of Animal Science,动物科学学士,1,https://www.une.edu.au/study/courses/bachelor-of-animal-science
32,bachelor,Bachelor of Arts,文学学士,1,https://www.une.edu.au/study/courses/bachelor-of-arts
32,bachelor,Bachelor of Arts/Bachelor of Business,文学学士/商学学士,1,https://www.une.edu.au/study/courses/bachelor-of-arts-bachelor-of-business
32,bachelor,Bachelor of Arts/Bachelor of Laws,文学学士/法学学士,1,https://www.une.edu.au/study/courses/bachelor-of-arts-bachelor-of-laws
32,bachelor,Bachelor of Arts/Bachelor of Science,文学学士/理学学士,1,https://www.une.edu.au/study/courses/bachelor-of-arts-bachelor-of-science
32,bachelor,Bachelor of Biomedical Science,生物医学科学学士,1,https://www.une.edu.au/study/courses/bachelor-of-biomedical-science
32,bachelor,Bachelor of Business,商学学士,1,https://www.une.edu.au/study/courses/bachelor-of-business
32,bachelor,Bachelor of Business/Bachelor of Economics,商学学士/经济学学士,1,https://www.une.edu.au/study/courses/bachelor-of-business-bachelor-of-economics
32,bachelor,Bachelor of Business/Bachelor of Laws,商学学士/法学学士,1,https://www.une.edu.au/study/courses/bachelor-of-business-bachelor-of-laws
32,bachelor,Bachelor of Clinical Exercise Physiology,临床运动生理学学士,1,https://www.une.edu.au/study/courses/bachelor-of-clinical-exercise-physiology
