university_id,degree_level,major_name_en,major_name_cn,is_active,notes
34,bachelor,Aboriginal Studies (Honours),原住民研究（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Aerospace Systems Engineering (Honours),航空航天系统工程（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Aerospace Systems Engineering (Honours)/Mechanical Engineering (Honours),航空航天系统工程（荣誉学位）/机械工程（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Aerospace Systems Engineering (Honours)/Mechatronics Engineering (Honours),航空航天系统工程（荣誉学位）/机电一体化工程（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Applied Data Science,应用数据科学,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Arts,文学,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Arts (Honours),文学（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Arts/Laws (Honours),文学/法学（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Arts/Science,文学/理学,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Biomedical Science,生物医学科学,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Biomedical Science (Honours),生物医学科学（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Biomedicine/Laws (Honours),生物医学/法学（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Biotechnology,生物技术,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Biotechnology (Honours),生物技术（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
34,bachelor,Business (Honours),商学（荣誉学位）,1,"Source: https://www.newcastle.edu.au/degrees (Degree Finder A–Z list), accessed 2026-01-15"
