university_id,degree_level,major_name_en,major_name_cn,is_active,notes
35,bachelor,Bachelor of Laws / Bachelor of Behavioural Science,法学学士与行为科学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Nursing,护理学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Laws / Bachelor of Politics and Journalism,法学学士与政治与新闻学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Physiotherapy,物理治疗学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Education (Primary)/Bachelor of Arts,小学教育学士与文学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Laws / Bachelor of Commerce,法学学士与商学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Health and Physical Education (Secondary),健康与体育教育学士（中学）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Education (Primary)/Bachelor of Science,小学教育学士与理学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Laws (Graduate Entry),法学学士（研究生入学）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Politics and Journalism / Bachelor of Behavioural Science,政治与新闻学学士与行为科学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Exercise and Sport Science,运动与体育科学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Exercise and Sport Science (Assured Pathway) into Master of Physiotherapy,Exercise and Sport Science (Assured Pathway) into Master of Physiotherapy学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,"Bachelor of Philosophy, Politics and Economics",哲学、政治与经济学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Behavioural Science,行为科学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Advanced Biomedical Science (Honours),高级生物医学科学学士（荣誉）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Laws / Bachelor of Science,法学学士与理学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Laws / Bachelor of Communications and Media,法学学士与传播与媒体学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Politics and Journalism,政治与新闻学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Science / Bachelor of Arts,理学学士与文学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Commerce / Bachelor of Communications and Media,商学学士与传播与媒体学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Laws / Bachelor of Arts,法学学士与文学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Science,理学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Commerce / Bachelor of Arts,商学学士与文学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Health Sciences,健康科学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Education (Secondary) / Bachelor of Behavioural Science,中学教育学士与行为科学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Health and Physical Education (Primary),健康与体育教育学士（小学）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Occupational Therapy (Honours),职业治疗学学士（荣誉）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Biomedical Science,生物医学科学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Accounting,会计学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,bachelor,Bachelor of Commerce / Bachelor of Science,商学学士与理学学士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Architecture,建筑学硕士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Philosophy (Physiotherapy),哲学硕士（物理治疗）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Theology,神学硕士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Primary Teaching,小学教学硕士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Secondary Teaching,中学教学硕士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Computer Science,计算机科学硕士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Laws,法学硕士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Philosophy (Arts and Sciences),哲学硕士（艺术与科学）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Physiotherapy,物理治疗学硕士,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Philosophy (Philosophy and Theology),哲学硕士（哲学与神学）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Science (Medicine),理学硕士（医学）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Social Work (Qualifying),社会工作硕士（执业资格）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Philosophy (Nursing),哲学硕士（护理）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
35,master,Master of Philosophy (Law),哲学硕士（法律）,1,"Source: Study Australia course listing (The University of Notre Dame Australia, CRICOS 01032F), accessed 2026-01-15"
