university_id,degree_level,major_name_en,major_name_cn,is_active,notes
36,bachelor,Advanced Business (Honours),高级商业（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Advanced Finance and Economics (Honours),高级金融与经济学（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Advanced Humanities (Honours),高级人文（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Advanced Science (Honours),高级科学（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Agribusiness,农业商务,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Agribusiness / Agricultural Science,农业商务 / 农业科学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Agribusiness / Wildlife Science,农业商务 / 野生动物科学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Agricultural Science,农业科学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Agricultural Science (Honours),农业科学（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Architectural Design,建筑设计,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Arts,文科,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Arts / Education (Secondary),文科 / Education（Secondary）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Arts / Laws (Honours),文科 / 法律（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Arts / Social Science,文科 / 社会科学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,"Arts / Tourism, Hospitality and Event Management",文科 / 旅游、酒店与会展管理,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Arts (Honours),文科（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,master,Agribusiness,农业商务,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,master,Agricultural Science,农业科学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,master,Animal Science,动物科学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,master,Applied Linguistics,应用语言学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,master,Architecture,建筑学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs. Retrieved: 2026-01-15.
36,bachelor,Biomedical Science,生物医学科学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
36,bachelor,Biomedical Science / Science,生物医学科学 / Science,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
36,bachelor,Biomedical Science (Honours),生物医学科学（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
36,bachelor,Biotechnology,生物技术,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
36,bachelor,Biotechnology (Honours),生物技术（荣誉）,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
36,bachelor,Business Management,商业管理,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
36,bachelor,Business Management / Arts,商业管理 / 文科,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
36,bachelor,Business Management / Commerce,商业管理 / 商学,1,Source: UQ Find a program (Year=2026). URL: https://study.uq.edu.au/study-options/programs?page=1. Retrieved: 2026-01-15.
