university_id,degree_level,major_name_en,major_name_cn,is_active,notes
37,bachelor,Bachelor of Accounting,会计学学士,1,
37,bachelor,"Bachelor of Accounting, Bachelor of Finance",会计学学士与金融学士（双学位）,1,
37,bachelor,Bachelor of Architectural Studies,建筑研究学士,1,
37,bachelor,Bachelor of Arts,文学学士,1,
37,bachelor,Bachelor of Arts (Aboriginal Studies),文学学士（原住民研究）,1,
37,bachelor,Bachelor of Arts (Applied Linguistics),文学学士（应用语言学）,1,
37,bachelor,Bachelor of Arts (Creative Writing and Literature),文学学士（创意写作与文学）,1,
37,bachelor,Bachelor of Arts (Criminology and Criminal Justice),文学学士（犯罪学与刑事司法）,1,
37,bachelor,Bachelor of Arts (Cultural Studies),文学学士（文化研究）,1,
37,bachelor,Bachelor of Arts (History and Global Politics),文学学士（历史与全球政治）,1,
37,bachelor,Bachelor of Arts (Languages),文学学士（语言）,1,
37,bachelor,"Bachelor of Arts (Law, Policy and Politics)",文学学士（法律、政策与政治）,1,
37,bachelor,Bachelor of Arts (Psychology),文学学士（心理学）,1,
37,bachelor,Bachelor of Arts (Sociology),文学学士（社会学）,1,
37,bachelor,Bachelor of Arts (specialisation),文学学士（方向）,1,
37,bachelor,Bachelor of Aviation (Management),航空学士（管理）,1,
37,bachelor,Bachelor of Aviation (Pilot),航空学士（飞行员）,1,
37,bachelor,Bachelor of Biomedical Science,生物医学科学学士,1,
37,bachelor,Bachelor of Business,商学学士,1,
37,bachelor,Bachelor of Business (Design and Marketing),商学学士（设计与市场营销）,1,
37,bachelor,"Bachelor of Business (Economics, Finance and Trade)",商学学士（经济、金融与贸易）,1,
37,bachelor,Bachelor of Business (Financial Planning),商学学士（金融规划）,1,
37,bachelor,Bachelor of Business (Human Resource Management),商学学士（人力资源管理）,1,
37,bachelor,"Bachelor of Business (Human Resource Management), Bachelor of Early Childhood Education (B-5 years)",商学学士（人力资源管理）与幼儿教育学士（出生至5岁）（双学位）,1,
37,bachelor,Bachelor of Business (Innovation and Entrepreneurship),商学学士（创新与创业）,1,
37,bachelor,Bachelor of Business (International Business),商学学士（国际商务）,1,
37,bachelor,Bachelor of Business (Legal Studies),商学学士（法律研究）,1,
37,bachelor,Bachelor of Business (Logistics and Supply Chain Management),商学学士（物流与供应链管理）,1,
37,bachelor,Bachelor of Business (Management),商学学士（管理）,1,
37,bachelor,Bachelor of Business (Marketing),商学学士（市场营销）,1,
37,bachelor,Bachelor of Business (Property),商学学士（房地产）,1,
37,bachelor,Bachelor of Business (Real Estate Practice),商学学士（房地产实务）,1,
37,bachelor,Bachelor of Business (Sport and Recreation Management),商学学士（体育与休闲管理）,1,
37,bachelor,"Bachelor of Business (Tourism, Event and Hospitality Management)",商学学士（旅游、会展与酒店管理）,1,
37,bachelor,Bachelor of Clinical Exercise Physiology (Honours),临床运动生理学荣誉学士,1,
37,bachelor,Bachelor of Communication and Media,传播与媒体学士,1,
37,bachelor,Bachelor of Construction Management,建设管理学士,1,
37,bachelor,Bachelor of Construction Management (Honours),建设管理荣誉学士,1,
37,bachelor,Bachelor of Contemporary Art,当代艺术学士,1,
37,bachelor,Bachelor of Creative Industries,创意产业学士,1,
37,bachelor,Bachelor of Design (Graphic and Communication Design),设计学士（平面与传播设计）,1,
37,bachelor,Bachelor of Design (Illustration and Animation),设计学士（插画与动画）,1,
37,bachelor,Bachelor of Design (Product Design),设计学士（产品设计）,1,
37,bachelor,Bachelor of Digital Business,数字商务学士,1,
37,bachelor,Bachelor of Early Childhood (B-5 years),幼儿教育学士（出生至5岁）,1,
37,bachelor,Bachelor of Early Childhood Education (B-5 years),幼儿教育学士（出生至5岁）,1,
37,bachelor,Bachelor of Early Childhood Education (B-5 years) (Mount Gambier),幼儿教育学士（出生至5岁；芒特甘比尔（校区））,1,
37,bachelor,Bachelor of Early Childhood Education (B-5 years) (Whyalla),幼儿教育学士（出生至5岁；怀阿拉（校区））,1,
37,bachelor,Bachelor of Early Childhood Education (Honours),幼儿教育荣誉学士,1,
37,bachelor,Bachelor of Early Childhood Education (Honours) (Mount Gambier),幼儿教育荣誉学士（芒特甘比尔（校区））,1,
37,bachelor,Bachelor of Early Childhood Education (Honours) (Mount Gambier)1*,幼儿教育荣誉学士（芒特甘比尔（校区））,1,
37,bachelor,Bachelor of Early Childhood Education (Honours) (Whyalla),幼儿教育荣誉学士（怀阿拉（校区））,1,
37,bachelor,Bachelor of Early Childhood Education (Honours) (Whyalla)1*,幼儿教育荣誉学士（怀阿拉（校区））,1,
37,bachelor,Bachelor of Early Childhood Education (Honours)~1,幼儿教育荣誉学士,1,
37,bachelor,Bachelor of Engineering (Honours) (Civil and Construction Management),工程荣誉学士（土木与施工管理）,1,
37,bachelor,Bachelor of Engineering (Honours) (Civil and Structural),工程荣誉学士（土木与结构）,1,
37,bachelor,Bachelor of Engineering (Honours) (Civil),工程荣誉学士（土木）,1,
37,bachelor,Bachelor of Engineering (Honours) (Electrical and Electronic),工程荣誉学士（电气与电子）,1,
37,bachelor,Bachelor of Engineering (Honours) (Electrical and Mechatronic),工程荣誉学士（电气与机电）,1,
