university_id,degree_level,major_name_en,major_name_cn,is_active,notes
39,bachelor,Bachelor of Advanced Computing and Bachelor of Commerce,高级计算学士与商学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-advanced-computing-and-bachelor-of-commerce.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Advanced Computing and Bachelor of Science,高级计算学士与理学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-advanced-computing-and-bachelor-of-science.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Arts and Bachelor of Laws,文学学士与法学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-arts-and-bachelor-of-laws.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Arts and Master of Nursing,文学学士与护理学硕士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-arts-and-master-of-nursing0.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Arts (Honours),文学荣誉学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-arts-honours.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Arts Languages (Honours),文学（语言）荣誉学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-arts-languages-honours.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Arts,文学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-arts.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Commerce and Bachelor Of (Advanced Studies),商学学士与高级研究学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce-and-bachelor-of-advanced-studies.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Commerce and Bachelor of Arts,商学学士与文学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce-and-bachelor-of-arts.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Commerce and Bachelor of Laws,商学学士与法学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce-and-bachelor-of-laws.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Commerce and Bachelor of Science,商学学士与理学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce-and-bachelor-of-science.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Commerce (Honours),商学荣誉学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce-honours.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Commerce,商学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Design (And Bachelor of Advanced Studies Interaction Design),设计学士（交互设计）与高级研究学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-design-and-bachelor-of-advanced-studies-interaction-design.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Design (Honours),设计荣誉学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-design-honours.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Design in Architecture (Honours) and Master of Architecture,建筑设计荣誉学士与建筑学硕士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-design-in-architecture-honours-and-master-of-architecture.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Design in Architecture (Honours),建筑设计荣誉学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-design-in-architecture-honours.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Design in Architecture,建筑设计学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-design-in-architecture.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Design (Interaction Design),设计学士（交互设计）,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-design-interaction-design.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Economics and Bachelor of Laws,经济学学士与法学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-economics-and-bachelor-of-laws.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Economics,经济学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-economics.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Education (And Bachelor of Advanced Studies Secondary),教育学学士（中学教育）与高级研究学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-education-and-bachelor-of-advanced-studies-secondary.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Education (Early Childhood),教育学学士（幼儿教育）,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-education-early-childhood0.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Education (Health and Physical Education),教育学学士（健康与体育教育）,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-education-health-and-physical-education0.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Education (Primary),教育学学士（小学教育）,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-education-primary0.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Education (Secondary),教育学学士（中学教育）,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-education-secondary.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Engineering Honours and Bachelor of Arts,工程学荣誉学士与文学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-engineering-honours-and-bachelor-of-arts1.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Engineering Honours and Bachelor of Commerce,工程学荣誉学士与商学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-engineering-honours-and-bachelor-of-commerce1.html (University of Sydney Courses catalogue), accessed 2026-01-15"
39,bachelor,Bachelor of Engineering Honours and Bachelor of Laws,工程学荣誉学士与法学学士,1,"Source: https://www.sydney.edu.au/courses/courses/uc/bachelor-of-engineering-honours-and-bachelor-of-laws1.html (University of Sydney Courses catalogue), accessed 2026-01-15"
