university_id,degree_level,major_name_en,major_name_cn,is_active,notes
42,bachelor,Bachelor of Arts,文学学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Arts (Honours),文学学士（荣誉）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Urban Design and Town Planning (Honours),城市设计与城镇规划学士（荣誉）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Arts / Bachelor of Business,文学学士 / 商业学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Arts / Science,文学学士 / 理学学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Education (Secondary) / Arts,中学教育学士 / 文学学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Laws / Bachelor of Arts,法学学士 / 文学学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Business,商业学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Business (Business Administration),商业学士（工商管理）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Business (Digital Futures),商业学士（数字未来）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Business (Economics and Finance),商业学士（经济与金融）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Business (Human Resource Management),商业学士（人力资源管理）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Business (Marketing),商业学士（市场营销）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Business (Small Business Management),商业学士（小型企业管理）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,"Bachelor of Business (Tourism, Leisure and Event Management)",商业学士（旅游、休闲与活动管理）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of International Sport Management,国际体育管理学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Bachelor of Commerce (Accounting),商学学士（会计）,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Associate Degree in Business,商业副学士,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Diploma in Business Innovation,商业创新文凭,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Diploma in Business,商业文凭,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Undergraduate Certificate in Digital Business,数字商业本科证书,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
42,bachelor,Undergraduate Certificate in Small Business,小型企业管理本科证书,1,"Sources: https://www.unisc.edu.au/study/courses-and-programs (study area pages incl. business-and-commerce, law-and-criminology, technology, nursing-and-midwifery, etc.); captured 2026-01-19"
