university_id,degree_level,major_name_en,major_name_cn,is_active,notes
43,bachelor,Bachelor of Arts,文学学士,1,UWA Handbook 2026 course search (type=courses); code=BP001; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Science,理学学士,1,UWA Handbook 2026 course search (type=courses); code=BP004; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Biomedical Science,生物医学科学学士,1,UWA Handbook 2026 course search (type=courses); code=BP006; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Agribusiness,农业商务学士,1,UWA Handbook 2026 course search (type=courses); code=BP020; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Human Rights,人权学士,1,UWA Handbook 2026 course search (type=courses); code=BP034; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Human Sciences,人类科学学士,1,UWA Handbook 2026 course search (type=courses); code=BP031; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Sport and Exercise Sciences,运动与锻炼科学学士,1,UWA Handbook 2026 course search (type=courses); code=BP026; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Psychology,心理学学士,1,UWA Handbook 2026 course search (type=courses); code=BP030; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Molecular Sciences,分子科学学士,1,UWA Handbook 2026 course search (type=courses); code=BP028; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Criminology and Criminal Justice,犯罪学与刑事司法学士,1,UWA Handbook 2026 course search (type=courses); code=BP050; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Modern Languages,现代语言学士,1,UWA Handbook 2026 course search (type=courses); code=BP054; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Geographical and Spatial Science,地理与空间 理学学士,1,UWA Handbook 2026 course search (type=courses); code=BP055; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of Biomedicine (Specialised),生物医学学士（专项）,1,UWA Handbook 2026 course search (type=courses); code=BP056; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
43,bachelor,Bachelor of International Relations,国际关系学士,1,UWA Handbook 2026 course search (type=courses); code=BP058; accessed=2026-01-19; source=https://handbooks.uwa.edu.au/search?type=courses
