university_id,degree_level,major_name_en,major_name_cn,is_active,notes
44,bachelor,Bachelor of Accounting,会计学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Accounting/ Bachelor of Laws (Honours),会计学士/法学 （荣誉）学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Advanced Medical Science,高级医学科学学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Advanced Science,高级 理学学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Applied Data Science,应用数据科学学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Applied Data Science - Vietnam,应用数据科学（越南）学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Architectural Design,建筑设计学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Arts,文学学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Arts (Interpreting and Translation),文学 （口笔译）学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Arts (Pathway to Teaching Early Childhood/Primary),文学 （教师教育衔接 幼儿教育/小学教育）学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Arts (Psychology)/Bachelor of Laws,文学 （心理学）学士/法学学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Arts (Psychology)/Bachelor of Laws (Honours),文学 （心理学）学士/法学 （荣誉）学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Arts / Bachelor of Business,文学学士/商业学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
44,bachelor,Bachelor of Arts / Bachelor of Creative Industries,文学学士/创意 产业学士,1,source=https://search.studyaustralia.gov.au/provider/western-sydney-university/a3157c39f9c8c960dcf8d31b69d28941/courses?organisation_ids=a3157c39f9c8c960dcf8d31b69d28941; accessed=2026-01-19; list=StudyAustralia provider course list (paginated)
