university_id,major_name_en,major_name_cn,degree_level,is_active,notes
5,Bachelor of Applied Science (Nautical Science),应用科学学士（航海科学）,bachelor,1,UTAS course code 23Q; course page: https://www.utas.edu.au/courses/sci-eng/courses/23q-bachelor-of-applied-science-nautical-science
5,Bachelor of Applied Science (Marine Engineering),应用科学学士（海洋工程）,bachelor,1,UTAS course code 23R; course page: https://www.utas.edu.au/courses/sci-eng/courses/23r-bachelor-of-applied-science-marine-engineering?year=2025
5,Bachelor of Global Logistics and Maritime Management,全球物流与海事管理学士,bachelor,1,UTAS course code P3E; course page: https://www.utas.edu.au/courses/sci-eng/courses/p3e-bachelor-of-global-logistics-and-maritime-management
5,Bachelor of Global Logistics and Maritime Management with Honours,全球物流与海事管理学士（荣誉）,bachelor,1,UTAS course code P4H; course page: https://www.utas.edu.au/courses/sci-eng/courses/p4h-bachelor-of-global-logistics-and-maritime-management-with-honours
5,Bachelor of Maritime Engineering (Specialisation) (Honours),海事工程学士（专业方向）（荣誉）,bachelor,1,UTAS course code 24V1 (BMarEng(Spec)(Hons)); course page: https://www.utas.edu.au/courses/24v1 (specialisations include Naval Architecture and Ocean Engineering)
5,Bachelor of Maritime Engineering (Specialisation) (Honours) (Co-operative Education),海事工程学士（专业方向）（荣誉）（合作教育）,bachelor,1,UTAS course code 24W; course page: https://www.utas.edu.au/courses/sci-eng/courses/24w-bachelor-of-maritime-engineering-specialisation-honours-co-operative-education?year=2025 (specialisations include Naval Architecture and Ocean Engineering)
5,Master of Maritime Engineering (Professional),海事工程硕士（专业）,master,1,UTAS course code P7F; course page: https://www.utas.edu.au/courses/cse/courses/p7f-master-of-maritime-engineering-professional (course may display via UTAS marketing materials if handbook page blocks)
5,Master of Maritime Engineering (Advanced),海事工程硕士（高级）,master,1,UTAS course code P7G; course page: https://www.utas.edu.au/courses/sci-eng/courses/p7g-master-of-maritime-engineering-advanced
5,Master of Business Administration in Maritime Management,海事管理工商管理硕士,master,1,UTAS course code P7H; course page: https://www.utas.edu.au/courses/sci-eng/courses/p7h-master-of-business-administration-in-maritime-management
5,Master of Global Logistics and Supply Chain Management,全球物流与供应链管理硕士,master,1,UTAS course code P7E; course page: https://www.utas.edu.au/courses/sci-eng/courses/p7e-master-of-global-logistics-and-supply-chain-management?year=2025
5,Master of Marine and Antarctic Science,海洋与南极科学硕士,master,1,UTAS course code S7Z; course page: https://www.utas.edu.au/courses/sci-eng/courses/s7z-master-of-marine-and-antarctic-science
