university_id,major_name_en,major_name_cn,degree_level,is_active,notes
6,Bachelor of Accounting,会计学学士,bachelor,1,
6,Bachelor of Accounting (Honours),会计学学士（荣誉）,bachelor,1,
6,Bachelor of Actuarial Studies,精算学学士,bachelor,1,
6,Bachelor of Actuarial Studies (Honours),精算学学士（荣誉）,bachelor,1,
6,Bachelor of Advanced Computing (Honours),高级计算学士（荣誉）,bachelor,1,
6,Bachelor of Advanced Computing (Research and Development) (Honours),高级计算学士（研发）（荣誉）,bachelor,1,
6,Bachelor of Applied Data Analytics,应用数据分析学士,bachelor,1,
6,Bachelor of Applied Data Analytics (Honours),应用数据分析学士（荣誉）,bachelor,1,
6,Bachelor of Archaeological Practice (Honours),考古实践学士（荣誉）,bachelor,1,
6,Bachelor of Art History and Curatorship (Honours),艺术史与策展学士（荣誉）,bachelor,1,
6,Bachelor of Arts,文学学士,bachelor,1,
6,Bachelor of Arts (Honours),文学学士（荣誉）,bachelor,1,
6,Bachelor of Asia-Pacific Affairs,亚太事务学士,bachelor,1,
6,Bachelor of Asia-Pacific Affairs (Ritsumeikan),亚太事务学士（立命馆）,bachelor,1,
6,Bachelor of Asian Studies,亚洲研究学士,bachelor,1,
6,Bachelor of Asian Studies (Honours),亚洲研究学士（荣誉）,bachelor,1,
6,Bachelor of Biotechnology,生物技术学士,bachelor,1,
6,Bachelor of Business Administration,工商管理学士,bachelor,1,
6,Bachelor of Business Administration (Honours),工商管理学士（荣誉）,bachelor,1,
6,Bachelor of Commerce,商学学士,bachelor,1,
6,Bachelor of Commerce (Honours),商学学士（荣誉）,bachelor,1,
6,Bachelor of Computing,计算机科学学士,bachelor,1,
6,Bachelor of Computing (Honours),计算机科学学士（荣誉）,bachelor,1,
6,Bachelor of Criminology,犯罪学学士,bachelor,1,
6,Bachelor of Criminology (Honours),犯罪学学士（荣誉）,bachelor,1,
6,Bachelor of Design,设计学士,bachelor,1,
6,Bachelor of Design (Honours),设计学士（荣誉）,bachelor,1,
6,Bachelor of Economics,经济学学士,bachelor,1,
6,Bachelor of Economics (Honours),经济学学士（荣誉）,bachelor,1,
6,Bachelor of Engineering (Honours),工程学学士（荣誉）,bachelor,1,
6,Bachelor of Engineering (Honours) in Software Engineering,工程学学士（荣誉）（软件工程方向）,bachelor,1,
6,Bachelor of Engineering (Research and Development) (Honours),工程学学士（研发）（荣誉）,bachelor,1,
6,Bachelor of Environment and Sustainability,环境与可持续发展学士,bachelor,1,
6,Bachelor of Environment and Sustainability (Honours),环境与可持续发展学士（荣誉）,bachelor,1,
6,Bachelor of Environmental Studies (Honours),环境研究学士（荣誉）,bachelor,1,
6,Bachelor of European Studies (Honours),欧洲研究学士（荣誉）,bachelor,1,
6,Bachelor of Finance,金融学学士,bachelor,1,
6,Bachelor of Finance (Honours),金融学学士（荣誉）,bachelor,1,
6,"Bachelor of Finance, Economics and Statistics (Honours)",金融、经济学与统计学学士（荣誉）,bachelor,1,
6,Bachelor of Genetics,遗传学学士,bachelor,1,
6,Bachelor of Genetics (Honours),遗传学学士（荣誉）,bachelor,1,
6,Bachelor of Health Science,健康科学学士,bachelor,1,
6,Bachelor of Health Science (Honours),健康科学学士（荣誉）,bachelor,1,
6,Bachelor of International Business,国际商务学士,bachelor,1,
6,Bachelor of International Business (Honours),国际商务学士（荣誉）,bachelor,1,
6,Bachelor of International Relations,国际关系学士,bachelor,1,
6,Bachelor of International Relations (Honours),国际关系学士（荣誉）,bachelor,1,
6,Bachelor of International Security Studies,国际安全研究学士,bachelor,1,
6,Bachelor of International Security Studies (Honours),国际安全研究学士（荣誉）,bachelor,1,
6,Bachelor of Languages,语言学学士,bachelor,1,
6,Bachelor of Languages (Honours),语言学学士（荣誉）,bachelor,1,
6,Bachelor of Laws (Honours),法学学士（荣誉）,bachelor,1,
6,Bachelor of Mathematical Sciences,数学科学学士,bachelor,1,
6,Bachelor of Mathematical Sciences (Honours),数学科学学士（荣誉）,bachelor,1,
6,Bachelor of Medical Science,医学科学学士,bachelor,1,
6,Bachelor of Medical Science (Honours),医学科学学士（荣誉）,bachelor,1,
6,Bachelor of Middle Eastern and Central Asian Studies (Honours),中东与中亚研究学士（荣誉）,bachelor,1,
6,Bachelor of Music,音乐学士,bachelor,1,
6,Bachelor of Music (Honours),音乐学士（荣誉）,bachelor,1,
6,Bachelor of Pacific Studies,太平洋研究学士,bachelor,1,
6,Bachelor of Philosophy (Honours) Humanities and Social Sciences,哲学学士（荣誉）（人文与社会科学）,bachelor,1,
6,"Bachelor of Philosophy, Neuroscience, and Psychology",哲学、神经科学与心理学学士,bachelor,1,
6,Bachelor of Political Science,政治学学士,bachelor,1,
6,Bachelor of Political Science (Honours),政治学学士（荣誉）,bachelor,1,
6,"Bachelor of Politics, Philosophy and Economics",政治、哲学与经济学学士,bachelor,1,
6,"Bachelor of Politics, Philosophy and Economics (Honours)",政治、哲学与经济学学士（荣誉）,bachelor,1,
6,Bachelor of Psychology (Honours),心理学学士（荣誉）,bachelor,1,
6,Bachelor of Science,理学学士,bachelor,1,
6,Bachelor of Science (Advanced) (Honours),理学学士（高级）（荣誉）,bachelor,1,
6,Bachelor of Science (Honours),理学学士（荣誉）,bachelor,1,
6,Bachelor of Science (Psychology),理学学士（心理学）,bachelor,1,
6,Bachelor of Science (Psychology) (Honours),理学学士（心理学）（荣誉）,bachelor,1,
6,Bachelor of Statistics,统计学学士,bachelor,1,
6,Bachelor of Statistics (Honours),统计学学士（荣誉）,bachelor,1,
6,Bachelor of Visual Arts,视觉艺术学士,bachelor,1,
