university_id,major_name_en,major_name_cn,degree_level,is_active,notes
9,Associate Degree in Public Health (specialisation),公共卫生副学士（方向）,bachelor,1,
9,Associate Degree of Allied Health,辅助健康副学士,bachelor,1,
9,Associate Degree of Aviation,航空副学士,bachelor,1,
9,Associate Degree of Building Design,建筑设计副学士,bachelor,1,
9,Associate Degree of Building Surveying,建筑测量副学士,bachelor,1,
9,Associate Degree of Cardiac Physiology,心脏生理学副学士,bachelor,1,
9,Associate Degree of Creative Arts,创意艺术副学士,bachelor,1,
9,Associate Degree of Digital Business Leadership,数字商业领导力副学士,bachelor,1,
9,Associate Degree of Digital Media,数字媒体副学士,bachelor,1,
9,Associate Degree of Education,教育学副学士,bachelor,1,
9,Associate Degree of Engineering,工程学副学士,bachelor,1,
9,Associate Degree of Environmental Science,环境科学副学士,bachelor,1,
9,Associate Degree of Financial Planning,财务规划副学士,bachelor,1,
9,Associate Degree of Health Care,医疗保健副学士,bachelor,1,
9,Associate Degree of Human Services,人类服务副学士,bachelor,1,
9,Associate Degree of Information Technology,信息技术副学士,bachelor,1,
9,Associate Degree of Occupational Health and Safety,职业健康与安全副学士,bachelor,1,
9,Bachelor of Arts/Bachelor of Business,文学学士/商学学士（双学位）,bachelor,1,
9,Bachelor of Criminology,犯罪学学士,bachelor,1,
9,Bachelor of Engineering (Honours) (Civil Construction) and Diploma of Construction Management,工程学学士（荣誉）（土木施工）与施工管理文凭,bachelor,1,
9,Bachelor of Engineering (Honours) (Civil Design) and Diploma of Building Design,工程学学士（荣誉）（土木设计）与建筑设计文凭,bachelor,1,
9,Bachelor of Engineering (Honours) (Control and Instrumentation) and Bachelor of Information Technology (Application Development),工程学学士（荣誉）（控制与仪表）与信息技术学士（应用开发）,bachelor,1,
9,Bachelor of Laws and Bachelor of Criminology,法学学士与犯罪学学士（双学位）,bachelor,1,
9,Bachelor of Nursing (Enrolled Nurse Pathway),护理学学士（注册护士路径）,bachelor,1,
9,Bachelor of Psychological Science,心理科学学士,bachelor,1,
9,Bachelor of Theatre,戏剧学学士,bachelor,1,
9,Certificate in Occupational Health and Safety,职业健康与安全证书,bachelor,1,
9,Diploma of Business in the Digital Age,数字时代商业文凭,bachelor,1,
9,Diploma of Information and Communications Technology,信息与通信技术文凭,bachelor,1,
9,Undergraduate Certificate in Accounting,会计学本科证书,bachelor,1,
9,Bachelor of Engineering (Honours)(Major) and Master of Project Management in Engineering,工程学学士（荣誉）（主修）与工程项目管理硕士,master,1,
9,Bachelor of Nutrition / Master of Nutrition and Dietetics,营养学学士/营养与膳食学硕士,master,1,
9,Graduate Certificate in Asset and Maintenance Management,资产与维护管理研究生证书,master,1,
9,Graduate Certificate in Business Administration,工商管理研究生证书,master,1,
9,Graduate Certificate in Business Consulting,商业咨询研究生证书,master,1,
9,Graduate Certificate in Clinical Nursing,临床护理研究生证书,master,1,
9,Graduate Certificate in Clinical Ultrasound,临床超声研究生证书,master,1,
9,Graduate Certificate in Counter-Terrorism and Operational Medicine,反恐与行动医学研究生证书,master,1,
9,Graduate Certificate in Cross-Cultural Practice,跨文化实践研究生证书,master,1,
9,Graduate Certificate in Emergency and Disaster Management,应急与灾害管理研究生证书,master,1,
9,Graduate Certificate in Emergency and Health Services Management,应急与卫生服务管理研究生证书,master,1,
9,"Graduate Certificate in Entrepreneurship, Innovation and Sustainability",创业、创新与可持续发展研究生证书,master,1,
9,Graduate Certificate in Fatigue Risk Management,疲劳风险管理研究生证书,master,1,
9,Graduate Certificate in Information Systems,信息系统研究生证书,master,1,
9,Graduate Certificate in Information Technology,信息技术研究生证书,master,1,
9,Graduate Certificate in Management,管理学研究生证书,master,1,
9,Graduate Certificate in Nursing (Re-Entry),护理学研究生证书（重新入行）,master,1,
9,Graduate Certificate in Occupational Health and Safety,职业健康与安全研究生证书,master,1,
9,Graduate Diploma of Clinical Nursing,临床护理研究生文凭,master,1,
9,Graduate Diploma of Construction Management,施工管理研究生文凭,master,1,
9,Graduate Diploma of Counter-Terrorism and Operational Medicine,反恐与行动医学研究生文凭,master,1,
9,Graduate Diploma of Early Childhood Education and Care,幼儿教育与照护研究生文凭,master,1,
9,Graduate Diploma of Emergency and Disaster Management,应急与灾害管理研究生文凭,master,1,
9,Graduate Diploma of Engineering,工程学研究生文凭,master,1,
9,Graduate Diploma of Health Promotion,健康促进研究生文凭,master,1,
9,Graduate Diploma of Human Resource Management,人力资源管理研究生文凭,master,1,
9,Graduate Diploma of Information Systems,信息系统研究生文凭,master,1,
9,Graduate Diploma of Information Technology,信息技术研究生文凭,master,1,
9,Graduate Diploma of International Business,国际商务研究生文凭,master,1,
9,Master of Clinical Chiropractic,临床脊骨神经医学硕士,master,1,
