university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2678,Bachelor of Arts (Hons) in Chinese Language and Literature,中国语言文学（BA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) in Creative and Professional Writing,创意与专业写作（BA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) in English Language and Literature,英国语言文学（BA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) in Humanities,人文学（BA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) in Translation,翻译（BA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,"Bachelor of Arts (Hons) in Religion, Philosophy and Ethics",宗教、哲学与伦理（BA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) / Bachelor of Social Sciences (Hons) in European Studies (French Stream),欧洲研究（法语方向）（BA/BSocSc）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) / Bachelor of Social Sciences (Hons) in European Studies (German Stream),欧洲研究（德语方向）（BA/BSocSc）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) / Bachelor of Social Sciences (Hons) in Geography,地理学（BA/BSocSc）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) / Bachelor of Social Sciences (Hons) in Global and China Studies,全球与中国研究（BA/BSocSc）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) / Bachelor of Social Sciences (Hons) in Government and International Studies,政府与国际研究（BA/BSocSc）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) / Bachelor of Social Sciences (Hons) in History,历史学（BA/BSocSc）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) / Bachelor of Social Sciences (Hons) in Sociology,社会学（BA/BSocSc）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Arts (Hons) in Physical Education and Recreation Management,体育与康乐管理（BA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Social Work (Hons),社会工作（BSW）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Business Administration (Hons) – Accounting Concentration,工商管理（会计专修）（BBA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
2678,Bachelor of Business Administration (Hons) in Economics and Data Analytics,经济学与数据分析（BBA）,bachelor,1,https://admissions.hkbu.edu.hk/content/dam/ao-assets/document/download-area/jupas-prospectus-2026.pdf
