university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2686,Bachelor of Arts in Architectural Studies,文学士（建筑学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-architectural-studies
2686,Bachelor of Science in Surveying,理学士（测量学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science-surveying
2686,Bachelor of Arts in Landscape Studies,文学士（景观研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-landscape-studies
2686,Bachelor of Arts in Urban Studies,文学士（城市研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-urban-studies
2686,Bachelor of Arts (Major in Art History),文学士（主修艺术史）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Chinese History and Culture),文学士（主修中国历史与文化）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Chinese Language and Literature),文学士（主修中国语言与文学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Comparative Literature),文学士（主修比较文学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in English Studies),文学士（主修English研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Gender Studies),文学士（主修性别研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in General Linguistics),文学士（主修普通语言学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Global and Area Studies),文学士（主修全球与区域研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in History),文学士（主修历史学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Hong Kong Studies),文学士（主修香港研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Japanese Studies),文学士（主修日本研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Korean Studies),文学士（主修韩国研究）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Music),文学士（主修音乐）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Philosophy),文学士（主修哲学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts (Major in Translation),文学士（主修翻译学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
2686,Bachelor of Arts and Bachelor of Education in Language Education - English,文学士与教育学士（语言教育（English））,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-bachelor-of-education-language-education
2686,Bachelor of Arts and Bachelor of Laws,文学士与法学士,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-bachelor-of-laws
2686,Bachelor of Arts and Bachelor of Education in Language Education - Chinese,文学士与教育学士（语言教育（Chinese））,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-bachelor-of-education-language-education-0
2686,Bachelor of Education in Early Childhood Education and Special Education,教育学士（EarlyChildhood教育学与Special教育学）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-education-early-childhood-education-and-special
2686,Bachelor of Dental Surgery,牙科医学士,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-dental-surgery
2686,Bachelor of Education and Bachelor of Science,教育学士与理学士,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-education-and-bachelor-of-science
2686,Bachelor of Science in Speech-Language Pathology,理学士（Speech-LanguagePathology）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science-speech-language-pathology
2686,Bachelor of Arts and Sciences in Applied Artificial Intelligence,文学及理学士（应用人工智能）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-applied-artificial-intelligence
2686,Bachelor of Arts and Sciences in Design+,文学及理学士（Design+）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-design
2686,Bachelor of Arts and Sciences in Financial Technology,文学及理学士（Financial技术）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-financial-technology
2686,Bachelor of Arts and Sciences in Global Health and Development,文学及理学士（GlobalHealth与发展）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-and-sciences-global-health-and-development
2686,Bachelor of Arts in Global Creative Industries,文学士（GlobalCreativeIndustries）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-global-creative-industries
2686,Bachelor of Arts in Humanities and Digital Technologies,文学士（Humanities与DigitalTechnologies）,bachelor,1,https://admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-humanities-and-digital-technologies
