university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2699,MEng (Hons) Aeronautical Engineering,航空工程,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/H401/Full-time
2699,BSc (Hons) Biochemistry with French for Science,生物化学（科学法语方向）,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C7R1/Full-time
2699,BSc (Hons) Biochemistry with German for Science,生物化学（科学德语方向）,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C7R2/Full-time
2699,BSc (Hons) Biochemistry with Spanish for Science,生物化学（科学西班牙语方向）,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C7R4/Full-time
2699,BSc (Hons) Biochemistry,生物化学,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C700/Full-time
2699,MSci (Hons) Biochemistry,生物化学,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C703/Full-time
2699,BSc (Hons) Biological Sciences with French for Science,生物科学（科学法语方向）,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C1R1/Full-time
2699,BSc (Hons) Biological Sciences with German for Science,生物科学（科学德语方向）,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C1R2/Full-time
2699,BSc (Hons) Biological Sciences with Spanish for Science,生物科学（科学西班牙语方向）,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C1R4/Full-time
2699,BSc (Hons) Biological Sciences,生物科学,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/C100/Full-time
2699,MEng (Hons) Biomaterials and Tissue Engineering,生物材料与组织工程,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/BJ95/Full-time
2699,MEng (Hons) Biomedical Engineering,生物医学工程,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/BH9C/Full-time
2699,BSc (Hons) Biomedical Technology Ventures,生物医学技术创业,bachelor,1,source=discoveruni;url=https://discoveruni.gov.uk/course-details/10003270/B800/Full-time
