university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2706,"Anglo-Saxon, Norse, and Celtic, BA (Hons)",Anglo-Saxon,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/anglo-saxon-norse-and-celtic-ba-hons
2706,"Archaeology, BA (Hons)",考古学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/archaeology-ba-hons
2706,"Architecture, BA (Hons) and MArch",建筑学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/architecture-ba-hons-march
2706,"Asian and Middle Eastern Studies, BA (Hons)",亚洲与中东研究,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/asian-and-middle-eastern-studies-ba-hons
2706,"Chemical Engineering and Biotechnology, BA (Hons) and MEng",化学工程与生物技术,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/chemical-engineering-and-biotechnology-ba-hons-meng
2706,"Classics, BA (Hons)",古典学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons
2706,"Computer Science, BA (Hons) and MEng",计算机科学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/computer-science-ba-hons-meng
2706,"Design, BA (Hons) and MDes",设计学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/design-ba-hons-mdes
2706,"Economics, BA (Hons)",经济学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/economics-ba-hons
2706,"Education, BA (Hons)",教育学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/education-ba-hons
2706,"Engineering, BA (Hons) and MEng",工程学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/engineering-ba-hons-meng
2706,"English, BA (Hons)",英语语言与文学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/english-ba-hons
2706,"Foundation Year, Pre-degree course",预科（Foundation Year）,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/foundation-year
2706,"Geography, BA (Hons)",地理学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/geography-ba-hons
2706,"History and Modern Languages, BA (Hons)",历史与现代语言,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/history-and-modern-languages-ba-hons
2706,"History and Politics, BA (Hons)",历史与政治,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/history-and-politics-ba-hons
2706,"History of Art, BA (Hons)",艺术史,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/history-of-art-ba-hons
2706,"History, BA (Hons)",历史学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/history-ba-hons
2706,"Human, Social, and Political Sciences, BA (Hons)",Human,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/human-social-and-political-sciences-ba-hons
2706,"Land Economy, BA (Hons)",土地经济学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/land-economy-ba-hons
2706,"Law, BA (Hons)",法学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/law-ba-hons
2706,"Linguistics, BA (Hons)",语言学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/linguistics-ba-hons
2706,"Mathematics, BA (Hons) and MMath",数学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/mathematics-ba-hons-mmath
2706,"Medicine (Graduate course), MB and BChir",医学（研究生入学途径）,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/medicine-graduate-course-mb-bchir
2706,"Medicine, MB and BChir",医学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/medicine-mb-bchir
2706,"Modern and Medieval Languages, BA (Hons)",现代与中世纪语言,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/modern-and-medieval-languages-ba-hons
2706,"Music, BA (Hons)",音乐学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/music-ba-hons
2706,"Natural Sciences, BA (Hons) and MSci",自然科学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/natural-sciences-ba-hons-msci
2706,"Philosophy, BA (Hons)",哲学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/philosophy-ba-hons
2706,"Psychological and Behavioural Sciences, BA (Hons)",心理与行为科学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/psychological-and-behavioural-sciences-ba-hons
2706,"Theology, Religion, and Philosophy of Religion, BA (Hons)",Theology,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/theology-religion-and-philosophy-of-religion-ba-hons
2706,"Veterinary Medicine, VetMB",兽医学,bachelor,1,https://www.undergraduate.study.cam.ac.uk/courses/veterinary-medicine-vetmb
2706,MPhil in Advanced Computer Science,高级计算机科学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/cscsmpacs
2706,MPhil in Politics and International Studies,政治与国际研究（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/popimpirp
2706,MLitt in Law,Law（MLitt）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/lwlwmllaw
2706,Master of Corporate Law (MCL),公司法硕士（MCL）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/lwlwclcl
2706,MPhil in Engineering,工程学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/egegmpmeg
2706,"MPhil in Ethics of AI, Data and Algorithms",人工智能、数据与算法伦理（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/phphmpead
2706,MPhil in Data Intensive Science,数据密集型科学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/pcphmpdis
2706,MPhil in Economics,经济学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/ececmpmec
2706,MPhil in World History,世界史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimpwhs
2706,MPhil in Chemistry,化学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/pcchmpmch
2706,MPhil in Mathematics,数学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/maammpmpm
2706,MPhil in Finance and Economics,金融与经济学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/ececmpmfe
2706,MPhil in History and Philosophy of Science and Medicine,科学与医学史与哲学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hphpmpstm
2706,MPhil in Economics and Data Science,经济学与数据科学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/ececmpeds
2706,MPhil in Education (Mathematics Education),教育学（数学教育）（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/ededmpemm
2706,MPhil in Economic Research,经济研究（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/ececmpmer
2706,MPhil in Economic and Social History,经济与社会史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimpesh
2706,MPhil in Political Thought and Intellectual History,政治思想与思想史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimppth
2706,MASt in Mathematics (Mathematical Statistics),数学（数理统计）（MASt）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/mapmasmst
2706,MPhil in Modern British History,现代英国史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimpmbh
2706,MPhil in Modern European History,现代欧洲史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimpmeh
2706,MPhil in American History,美国史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimpamh
2706,MPhil in Advanced Chemical Engineering,高级化学工程（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/egcempace
2706,MPhil in Global History of Art and Architecture,全球艺术与建筑史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/ahahmphaa
2706,MPhil in Land Economy,土地经济学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/lelemplec
2706,MPhil in Medieval History,中世纪史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimpmmh
2706,MPhil in Early Modern History,近代早期史（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/hihimpemh
2706,MPhil in Sociology (Political and Economic Sociology),社会学（政治与经济社会学）（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/aasomppes
2706,MPhil in Advanced Materials for the Energy Transition,能源转型先进材料（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/pcmmmpame
2706,MPhil in Foundations of Clinical Psychology,临床心理学基础（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/cvpcmpcps
2706,MPhil in Linguistics and Language Sciences (Taught),语言学与语言科学（授课型）（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/mmalmptal
2706,MPhil in Linguistics and Language Sciences (Research),语言学与语言科学（研究型）（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/mmalmptld
2706,MPhil in Physics,物理学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/pcphmpphy
2706,MPhil in Biological Science (Psychology) by thesis,生物科学（心理学方向，论文型）（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/blpympbsc
2706,MPhil in Education (Psychology and Education) full time,教育学（心理学与教育，全日制）（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/ededmpepy
2706,MPhil in Scientific Computing,科学计算（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/pcphmpscm
2706,MPhil in Machine Learning and Machine Intelligence,机器学习与机器智能（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/egegmpmsl
2706,MASt in Physics,物理学（MASt）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/pcphasphy
2706,MPhil in Cognitive Neurosciences,认知神经科学（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/cvcmmpcns
2706,MPhil in Human-Inspired Artificial Intelligence,类人启发人工智能（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/iethmphia
2706,MPhil in Medical Science (Psychiatry),医学科学（精神医学）（MPhil）,master,1,https://www.postgraduate.study.cam.ac.uk/courses/directory/cvpcmpmsc
