university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2711,Accounting and Finance BSc,会计与金融（BSc）,bachelor,1,https://courses.leeds.ac.uk/f834/accounting-and-finance-bsc
2711,Actuarial Mathematics BSc,精算数学（BSc）,bachelor,1,https://courses.leeds.ac.uk/f702/actuarial-mathematics-bsc
2711,"Advanced Psychology MPsyc, BSc","高级心理学（MPsyc, BSc）",bachelor,1,https://courses.leeds.ac.uk/g492/advanced-psychology-mpsyc-bsc
2711,Aeronautical and Aerospace Engineering (Industrial) BEng,航空航天工程（含工业实习）（BEng）,bachelor,1,https://courses.leeds.ac.uk/g662/aeronautical-and-aerospace-engineering-industrial-beng
2711,"Aeronautical and Aerospace Engineering (Industrial) MEng, BEng","航空航天工程（含工业实习）（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/g285/aeronautical-and-aerospace-engineering-industrial-meng-beng
2711,Aeronautical and Aerospace Engineering BEng,航空航天工程（BEng）,bachelor,1,https://courses.leeds.ac.uk/a225/aeronautical-and-aerospace-engineering-beng
2711,"Aeronautical and Aerospace Engineering MEng, BEng","航空航天工程（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/f414/aeronautical-and-aerospace-engineering-meng-beng
2711,Ancient History BA,古代史（BA）,bachelor,1,https://courses.leeds.ac.uk/i988/ancient-history-ba
2711,Ancient History and History BA,古代史与历史学（BA）,bachelor,1,https://courses.leeds.ac.uk/g676/ancient-history-and-history-ba
2711,Ancient History and Philosophy BA,古代史与哲学（BA）,bachelor,1,https://courses.leeds.ac.uk/g678/ancient-history-and-philosophy-ba
2711,Arabic and Chinese BA,阿拉伯语与中文（BA）,bachelor,1,https://courses.leeds.ac.uk/632/arabic-and-chinese-ba
2711,Arabic and Japanese BA,阿拉伯语与日语（BA）,bachelor,1,https://courses.leeds.ac.uk/631/arabic-and-japanese-ba
2711,Arabic and Russian BA,阿拉伯语与俄语（BA）,bachelor,1,https://courses.leeds.ac.uk/j945/arabic-and-russian-ba
2711,"Arabic, Islamic, Middle Eastern and North African Studies BA",阿拉伯语、伊斯兰、中东与北非研究（BA）,bachelor,1,https://courses.leeds.ac.uk/j555/arabic-islamic-middle-eastern-and-north-african-studies-ba
2711,Architectural Engineering (Industrial) BEng,建筑工程（含工业实习）（BEng）,bachelor,1,https://courses.leeds.ac.uk/i143/architectural-engineering-industrial-beng
2711,"Architectural Engineering (Industrial) MEng, BEng","建筑工程（含工业实习）（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/g652/architectural-engineering-industrial-meng-beng
2711,Architectural Engineering BEng,建筑工程（BEng）,bachelor,1,https://courses.leeds.ac.uk/a248/architectural-engineering-beng
2711,"Architectural Engineering MEng, BEng","建筑工程（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/f416/architectural-engineering-meng-beng
2711,"Architecture (Industrial) MArch, MEng","建筑学（含工业实习）（MArch, MEng）",bachelor,1,https://courses.leeds.ac.uk/k126/architecture-industrial-march-meng
2711,"Architecture (Industrial) MEng, BEng","建筑学（含工业实习）（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/i870/architecture-industrial-meng-beng
2711,"Architecture MArch, MEng","建筑学（MArch, MEng）",bachelor,1,https://courses.leeds.ac.uk/j930/architecture-march-meng
2711,"Architecture MEng, BEng","建筑学（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/g800/architecture-meng-beng
2711,Art and Design BA,艺术与设计（BA）,bachelor,1,https://courses.leeds.ac.uk/f254/art-and-design-ba
2711,Arts and Humanities with Foundation Year BA,艺术与人文（含预科年）（BA）,bachelor,1,https://courses.leeds.ac.uk/g294/arts-and-humanities-with-foundation-year-ba
2711,Audiology BSc,听力学（BSc）,bachelor,1,https://courses.leeds.ac.uk/j568/audiology-bsc
2711,Automotive Engineering (Industrial) BEng,汽车工程（含工业实习）（BEng）,bachelor,1,https://courses.leeds.ac.uk/i038/automotive-engineering-industrial-beng
2711,"Automotive Engineering (Industrial) MEng, BEng","汽车工程（含工业实习）（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/g287/automotive-engineering-industrial-meng-beng
2711,Automotive Engineering BEng,汽车工程（BEng）,bachelor,1,https://courses.leeds.ac.uk/4794/automotive-engineering-beng
2711,"Automotive Engineering MEng, BEng","汽车工程（MEng, BEng）",bachelor,1,https://courses.leeds.ac.uk/f413/automotive-engineering-meng-beng
2711,Bachelor Degree with Integrated International Foundation Year (Arts and Social Science) BA,本科（含综合国际预科）（人文与社会科学）（BA）,bachelor,1,https://courses.leeds.ac.uk/j054/bachelor-degree-with-integrated-international-foundation-year-arts-and-social-science-ba
2711,Bachelor Degree with Integrated International Foundation Year (Business) BA,本科（含综合国际预科）（商业）（BA）,bachelor,1,https://courses.leeds.ac.uk/j055/bachelor-degree-with-integrated-international-foundation-year-business-ba
2711,Bachelor Degree with Integrated International Foundation Year (Design) BA,本科（含综合国际预科）（设计）（BA）,bachelor,1,https://courses.leeds.ac.uk/j057/bachelor-degree-with-integrated-international-foundation-year-design-ba
2711,Bachelor Degree with Integrated International Foundation Year (Engineering) BEng,本科（含综合国际预科）（工程）（BEng）,bachelor,1,https://courses.leeds.ac.uk/j058/bachelor-degree-with-integrated-international-foundation-year-engineering-beng
2711,Bachelor Degree with Integrated International Foundation Year (Healthcare) BSc,本科（含综合国际预科）（医疗健康）（BSc）,bachelor,1,https://courses.leeds.ac.uk/j059/bachelor-degree-with-integrated-international-foundation-year-healthcare-bsc
2711,Bachelor Degree with Integrated International Foundation Year (Science) BSc,本科（含综合国际预科）（科学）（BSc）,bachelor,1,https://courses.leeds.ac.uk/j061/bachelor-degree-with-integrated-international-foundation-year-science-bsc
2711,Banking and Finance BSc,银行与金融（BSc）,bachelor,1,https://courses.leeds.ac.uk/g986/banking-and-finance-bsc
2711,Biochemistry BSc,生物化学（BSc）,bachelor,1,https://courses.leeds.ac.uk/3130/biochemistry-bsc
2711,"Biochemistry MBiol, BSc","生物化学（MBiol, BSc）",bachelor,1,https://courses.leeds.ac.uk/g257/biochemistry-mbiol-bsc
2711,Biological Sciences (Biotechnology with Enterprise) BSc,生物科学 （生物技术（企业）方向）（BSc）,bachelor,1,https://courses.leeds.ac.uk/g377/biological-sciences-biotechnology-with-enterprise-bsc
2711,"Biological Sciences (Biotechnology with Enterprise) MBiol, BSc","生物科学 （生物技术（企业）方向）（MBiol, BSc）",bachelor,1,https://courses.leeds.ac.uk/g378/biological-sciences-biotechnology-with-enterprise-mbiol-bsc
2711,Biological Sciences BSc,生物科学（BSc）,bachelor,1,https://courses.leeds.ac.uk/e997/biological-sciences-bsc
2711,"Biological Sciences MBiol, BSc","生物科学（MBiol, BSc）",bachelor,1,https://courses.leeds.ac.uk/g258/biological-sciences-mbiol-bsc
2711,Biology BSc,生物学（BSc）,bachelor,1,https://courses.leeds.ac.uk/3165/biology-bsc
2711,"Biology MBiol, BSc","生物学（MBiol, BSc）",bachelor,1,https://courses.leeds.ac.uk/g259/biology-mbiol-bsc
2711,Biology and History and Philosophy of Science BSc,生物学与历史学与哲学科学（BSc）,bachelor,1,https://courses.leeds.ac.uk/4028/biology-and-history-and-philosophy-of-science-bsc
2711,Biomedical Sciences BSc,生物医学科学（BSc）,bachelor,1,https://courses.leeds.ac.uk/j415/biomedical-sciences-bsc
2711,"Biomedical Sciences MBiol, BSc","生物医学科学（MBiol, BSc）",bachelor,1,https://courses.leeds.ac.uk/j416/biomedical-sciences-mbiol-bsc
2711,Business Economics BSc,商业经济学（BSc）,bachelor,1,https://courses.leeds.ac.uk/f835/business-economics-bsc
2711,Business Management BA,工商管理（BA）,bachelor,1,https://courses.leeds.ac.uk/i475/business-management-ba
2711,Business Management and Leadership BSc,工商管理与领导力（BSc）,bachelor,1,https://courses.leeds.ac.uk/i079/business-management-and-leadership-bsc
2711,Business Management and the Human Resource BA,工商管理与人力资源（BA）,bachelor,1,https://courses.leeds.ac.uk/i477/business-management-and-the-human-resource-ba
2711,Business Management with Marketing BA,工商管理（市场营销方向）（BA）,bachelor,1,https://courses.leeds.ac.uk/i476/business-management-with-marketing-ba
2711,Business Studies with Foundation Year BSc,商科（含预科年）（BSc）,bachelor,1,https://courses.leeds.ac.uk/g150/business-studies-with-foundation-year-bsc
