university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2712,Accounting and Finance BSc (Hons),会计与金融（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/accounting-and-finance-bsc-hons
2712,Accounting and Finance with a Year in Industry BSc (Hons),会计与金融（含一年行业实习）（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/accounting-and-finance-with-a-year-in-industry-bsc-hons
2712,Actuarial Mathematics BSc (Hons),精算数学（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/actuarial-mathematics-bsc-hons
2712,Actuarial Mathematics with a Year Abroad BSc (Hons),精算数学（含一年海外学习）（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/actuarial-mathematics-with-a-year-abroad-bsc-hons
2712,"Acute, Critical and Emergency Care (ACE Care) BSc (Hons)",急危重症与急诊护理（ACE Care）（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/acute-critical-and-emergency-care-ace-care-bsc-hons
2712,Aerospace Engineering BEng (Hons),航空航天工程（BEng (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-beng-hons
2712,Aerospace Engineering MEng,航空航天工程（MEng）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-meng
2712,Aerospace Engineering with Pilot Studies BEng (Hons),航空航天工程（飞行方向）（BEng (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-with-pilot-studies-beng-hons
2712,Aerospace Engineering with Pilot Studies MEng,航空航天工程（飞行方向）（MEng）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-with-pilot-studies-meng
2712,Aerospace Engineering with Pilot Studies with a Year in Industry BEng (Hons),航空航天工程（飞行研究，含一年行业实习）（BEng (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-with-pilot-studies-with-a-year-in-industry-beng-hons
2712,Aerospace Engineering with Pilot Studies with a Year in Industry MEng,航空航天工程（飞行研究，含一年行业实习）（MEng）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-with-pilot-studies-with-a-year-in-industry-meng
2712,Aerospace Engineering with a Year in Industry BEng (Hons),航空航天工程（含一年行业实习）（BEng (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-with-a-year-in-industry-beng-hons
2712,Aerospace Engineering with a Year in Industry MEng,航空航天工程（含一年行业实习）（MEng）,bachelor,1,https://www.liverpool.ac.uk/courses/aerospace-engineering-with-a-year-in-industry-meng
2712,Anatomy and Human Biology BSc (Hons),解剖学与人体生物学（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/anatomy-and-human-biology-bsc-hons
2712,Anatomy and Human Biology MBiol,解剖学与人体生物学（MBiol）,bachelor,1,https://www.liverpool.ac.uk/courses/anatomy-and-human-biology-mbiol
2712,Ancient History BA (Hons),古代史（BA (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/ancient-history-ba-hons
2712,Applied Mathematics BSc (Hons),应用数学（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/applied-mathematics-bsc-hons
2712,Archaeology BA (Hons),考古学（BA (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/archaeology-ba-hons
2712,Archaeology BSc (Hons),考古学（BSc (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/archaeology-bsc-hons
2712,Archaeology of Ancient Civilisations BA (Hons),古代文明考古学（BA (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/archaeology-of-ancient-civilisations-ba-hons
2712,Architectural Engineering BEng (Hons),建筑工程（BEng (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/architectural-engineering-beng-hons
2712,Architectural Engineering MEng,建筑工程（MEng）,bachelor,1,https://www.liverpool.ac.uk/courses/architectural-engineering-meng
2712,Architecture BA (Hons),建筑学（BA (Hons)）,bachelor,1,https://www.liverpool.ac.uk/courses/architecture-ba-hons
