university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2716,Accounting and Finance BSc,会计与金融（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/accounting-finance-degree-bsc
2716,Accounting and Finance with Placement Year BSc,会计与金融（实习年）（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/accounting-finance-with-placement-year-degree-bsc
2716,Accounting and Finance with Study Abroad Year BSc,会计与金融（海外交流年）（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/accounting-finance-with-study-abroad-year-degree-bsc
2716,Accounting and Taxation BSc,会计与税务（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/accounting-taxation-degree-bsc
2716,Accounting and Taxation with Placement Year BSc,会计与税务（实习年）（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/accounting-taxation-with-placement-year-degree-bsc
2716,Acoustical Engineering BEng,声学工程（BEng）,bachelor,1,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-beng
2716,Acoustical Engineering MEng,声学工程（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-meng
2716,Aeronautics and Astronautics / Aerodynamics MEng,Aeronautics与Astronautics/空气动力学（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/aeronautics-astronautics-aerodynamics-degree-meng
2716,Aeronautics and Astronautics / Spacecraft Engineering MEng,Aeronautics与Astronautics/航天器工程（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/aeronautics-astronautics-spacecraft-engineering-degree-meng
2716,Aeronautics and Astronautics BEng,航空航天工程（BEng）,bachelor,1,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-beng
2716,Aeronautics and Astronautics MEng,航空航天工程（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-meng
2716,Aerospace Electronic Engineering BEng,航空航天电子工程（BEng）,bachelor,1,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-beng
2716,Aerospace Electronic Engineering MEng,航空航天电子工程（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-meng
2716,Ancient History BA,古代史（BA）,bachelor,1,https://www.southampton.ac.uk/courses/ancient-history-degree-ba
2716,Ancient History and History BA,古代史与历史学（BA）,bachelor,1,https://www.southampton.ac.uk/courses/ancient-history-history-degree-ba
2716,Ancient History and History with Year Abroad BA,古代史与历史学（海外交流年）（BA）,bachelor,1,https://www.southampton.ac.uk/courses/ancient-history-history-with-year-abroad-degree-ba
2716,Ancient History with Year Abroad BA,古代史（海外交流年）（BA）,bachelor,1,https://www.southampton.ac.uk/courses/ancient-history-with-year-abroad-degree-ba
2716,Archaeology BA,考古学（BA）,bachelor,1,https://www.southampton.ac.uk/courses/archaeology-degree-ba
2716,Archaeology and Ancient History BA,考古学与古代史（BA）,bachelor,1,https://www.southampton.ac.uk/courses/ancient-history-archaeology-degree-ba
2716,Archaeology and Ancient History with Year Abroad BA,考古学与古代史（海外交流年）（BA）,bachelor,1,https://www.southampton.ac.uk/courses/ancient-history-archaeology-with-year-abroad-degree-ba
2716,Archaeology and Anthropology BA,考古学与人类学（BA）,bachelor,1,https://www.southampton.ac.uk/courses/archaeology-anthropology-degree-ba
2716,Archaeology and Anthropology with Year Abroad BA,考古学与人类学（海外交流年）（BA）,bachelor,1,https://www.southampton.ac.uk/courses/archaeology-anthropology-with-year-abroad-degree-ba
2716,Archaeology with Year Abroad BA,考古学（海外交流年）（BA）,bachelor,1,https://www.southampton.ac.uk/courses/archaeology-with-year-abroad-degree-ba
2716,Artificial Intelligence BEng,人工智能（BEng）,bachelor,1,https://www.southampton.ac.uk/courses/artificial-intelligence-degree-beng
2716,Artificial Intelligence MEng,人工智能（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/artificial-intelligence-degree-meng
2716,Astrophysics with Year Abroad MPhys,天体物理学（海外交流年）（MPhys）,bachelor,1,https://www.southampton.ac.uk/courses/astrophysics-with-year-abroad-degree-mphys
2716,Audiology BSc,听力学（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/audiology-degree-bsc
2716,Audiology MSci,听力学（MSci）,bachelor,1,https://www.southampton.ac.uk/courses/audiology-degree-msci
2716,Biochemistry BSc,生物化学（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/biochemistry-degree-bsc
2716,Biochemistry MSci,生物化学（MSci）,bachelor,1,https://www.southampton.ac.uk/courses/biochemistry-degree-msci
2716,Biology BSc,生物学（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/biology-degree-bsc
2716,Biology MSci,生物学（MSci）,bachelor,1,https://www.southampton.ac.uk/courses/biology-degree-msci
2716,Biology and Marine Biology BSc,生物学与海洋生物学（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/biology-marine-biology-degree-bsc
2716,Biology and Marine Biology MSci,生物学与海洋生物学（MSci）,bachelor,1,https://www.southampton.ac.uk/courses/biology-marine-biology-degree-msci
2716,Biomedical Engineering BEng,生物医学工程（BEng）,bachelor,1,https://www.southampton.ac.uk/courses/biomedical-engineering-degree-beng
2716,Biomedical Engineering MEng,生物医学工程（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/biomedical-engineering-degree-meng
2716,Biomedical Engineering with Industrial Studies MEng,生物医学工程（工业实践）（MEng）,bachelor,1,https://www.southampton.ac.uk/courses/biomedical-engineering-with-industrial-studies-degree-meng
2716,Biomedical Sciences BSc,生物医学科学（BSc）,bachelor,1,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-bsc
2716,Biomedical Sciences MSci,生物医学科学（MSci）,bachelor,1,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-msci
