university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2717,Ancient Civilisations (Full-time) (BA Hons),古代文明研究,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Ancient Civilisations with Foundation Year (Full-time) (BA Hons),古代文明研究（含预科）,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Ancient History (Full-time) (BA Hons),古代史,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Ancient History and Archaeology (Full-time) (BA Hons),古代史与考古学,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Anthropology and History (BA Hons),人类学与历史,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/undergraduate/philosophy-theology-and-religious-studies/philosophy-full-time-full
2717,Anthropology and Religious Studies (BA Hons),人类学与宗教研究,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/undergraduate/philosophy-theology-and-religious-studies/philosophy-full-time-full
2717,Archaeology (Full-time) (BA Hons),考古学,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Archaeology and Anthropology (Full-time) (BA Hons),考古学与人类学,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Archaeology and History (BA Hons),考古学与历史,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Archaeology with Ancient Egyptian Culture (BA Hons),考古学（古埃及文化方向）,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,"Archaeology with a Foundation Year (Full-time) (Foundation, BA Hons)",考古学（含预科）,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/postgraduate-pgce/history-and-archaeology/classics-full-time-full-time-distance
2717,Bible and Theology (Full-time) (BA Hons),圣经与神学,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/undergraduate/philosophy-theology-and-religious-studies/philosophy-full-time-full
2717,Bible and Theology (Part-time) (BA Hons),圣经与神学,bachelor,1,https://www.uwtsd.ac.uk/programme-courses/undergraduate/philosophy-theology-and-religious-studies/philosophy-full-time-full
