university_id,major_name_en,major_name_cn,degree_level,is_active,notes
2718,Accounting and Finance BSc (UCAS NN34),会计与金融（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-accounting-finance
2718,Accounting and Finance with Foundation Year BSc (UCAS N4N4),会计与金融（含预科年）（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-accounting-finance-foundation-year
2718,Accounting and Finance with Placement Year BSc (UCAS N40Y),会计与金融（含实习年）（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-accounting-finance-placement-year
2718,Ancient History and Classical Archaeology BA (UCAS VV14),古代史与古典考古学（BA）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/ba-ancient-history-classical-archaeology
2718,Ancient History and Classical Archaeology with Study in Europe BA (UCAS VV18),古代史与古典考古学（含欧洲学习）（BA）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/ba-ancient-history-classical-archaeology-study-in-europe
2718,Automotive Engineering MEng (UCAS H335),Automotive工程（MEng）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/meng-automotive-engineering
2718,BSc Accounting & Finance,会计与金融（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/accounting-and-finance/
2718,BSc Accounting & Finance with Placement Year,会计与金融（含实习年）（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/bsc-accounting-finance-with-placement-year/
2718,BSc International Management,国际管理（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/international-management/
2718,BSc International Management with Marketing,国际管理与市场营销（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/international-management-with-marketing/
2718,BSc Management,管理学（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/management/
2718,BSc Management with Marketing,管理学与市场营销（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/management-with-marketing/
2718,BSc Management with Marketing and with Placement Year,管理学与市场营销（含实习年）（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/bsc-management-with-marketing-and-with-placement-year/
2718,BSc Management with Placement Year,管理学（含实习年）（BSc）,bachelor,1,https://www.wbs.ac.uk/courses/undergraduate/bsc-management-with-placement-year/
2718,Biochemistry BSc (UCAS C700),Biochemistry（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-biochemistry
2718,Biochemistry MBio (UCAS C1A2),BiochemistryMBio,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/mbio-biochemistry
2718,Biochemistry with Industrial Placement MBio (UCAS C1A6),BiochemistrywithIndustrialPlacementMBio,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/mbio-biochemistry-industrial-placement
2718,Biochemistry with Placement Year BSc (UCAS C701),Biochemistry（含实习年）（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-biochemistry-placement-year
2718,Biological Sciences BSc (UCAS C100),BiologicalSciences（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-biological-sciences
2718,Biological Sciences MBio (UCAS C1A3),BiologicalSciencesMBio,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/mbio-biological-sciences
2718,Biological Sciences with Industrial Placement MBio (UCAS C1A7),BiologicalScienceswithIndustrialPlacementMBio,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/mbio-biological-sciences-industrial-placement
2718,Biological Sciences with Placement Year BSc (UCAS C101),BiologicalSciences（含实习年）（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-biological-sciences-placement-year
2718,Biomedical Science BSc (UCAS B900),Biomedical科学（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-biomedical-science
2718,Biomedical Science MBio (UCAS C1A3),Biomedical科学MBio,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/mbio-biomedical-science
2718,Biomedical Science with Industrial Placement MBio (UCAS C1A7),Biomedical科学withIndustrialPlacementMBio,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/mbio-biomedical-science-industrial-placement
2718,Biomedical Science with Placement Year BSc (UCAS CB19),Biomedical科学（含实习年）（BSc）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/bsc-biomedical-science-placement-year
2718,Biomedical Systems Engineering BEng (UCAS H161),BiomedicalSystems工程（BEng）,bachelor,1,https://warwick.ac.uk/study/undergraduate/courses/beng-biomedical-systems-engineering
